Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,means,dispersions,dispersions_norm,highly_variable
GBP2,ENSG00000162645,1,89150456,89106132,-,-0.0499,2.0231009,6.8213725,1.262034153677837,True
GBP4,ENSG00000162654,1,89198942,89181144,-,-0.0929,3.1051986,7.2681365,1.3109920452136976,True
CNN3,ENSG00000117519,1,94927223,94896949,-,-0.117,3.1200032,7.4795604,1.5762109450149522,True
DPYD,ENSG00000188641,1,97995000,97077743,-,-0.0974,2.691619,6.8897805,1.0568022296962944,True
VAV3,ENSG00000134215,1,107965180,107571161,-,-0.0967,2.3369415,6.928674,1.116538679172449,True
DENND2D,ENSG00000162777,1,111204535,111185969,-,-0.1796,4.7086086,7.4528704,1.1199777423645338,True
OVGP1,ENSG00000085465,1,111427735,111414319,-,-0.0626,2.2677305,7.223265,1.437624912152313,True
AL390195.1,ENSG00000243960,1,111441364,111438638,-,-0.0493,0.4305865,5.3527007,1.6227941061449727,True
NOTCH2,ENSG00000134250,1,120100779,119911553,-,-0.114,4.1342416,8.016595,2.0269790767065334,True
NBPF20,ENSG00000162825,1,145405778,145289900,-,-0.0593,1.7176052,6.846567,1.288942408044793,True
PIAS3,ENSG00000131788,1,145859836,145848522,-,-0.1086,4.304993,7.4955783,1.3415670738635808,True
TXNIP,ENSG00000265972,1,145996579,145992435,-,-0.4463,8.282264,9.318049,1.1513841869149255,True
NBPF13P,ENSG00000227242,1,147056593,147019656,-,-0.0282,0.8395441,6.311543,1.616846822047232,True
PRKAB2,ENSG00000131791,1,147172550,147155106,-,-0.0877,3.0075061,6.854637,1.0145073233760389,True
CTSK,ENSG00000143387,1,150808260,150796208,-,-0.0736,2.6617212,7.501816,1.7933841404457276,True
ARNT,ENSG00000143437,1,150876708,150809713,-,-0.1062,4.1915073,7.5393753,1.3991832816455003,True
TDRKH,ENSG00000182134,1,151791416,151770107,-,-0.0608,3.1845143,7.184259,1.2057725414142266,True
S100A2,ENSG00000196754,1,153567890,153561108,-,-0.0518,0.7432892,6.359381,1.6706447457209082,True
IL6R-AS1,ENSG00000228013,1,154406564,154402328,-,-0.0336,1.4713227,7.121644,1.933062063267639,True
PBXIP1,ENSG00000163346,1,154956123,154944076,-,-0.1665,4.991934,7.425244,1.0842931296081315,True
THBS3,ENSG00000169231,1,155209051,155195588,-,-0.0384,0.3617676,4.761982,1.1455905686052348,True
GBAP1,ENSG00000160766,1,155227422,155213821,-,-0.0359,2.292106,6.8442936,1.0245689239727511,True
SMG5,ENSG00000198952,1,156282825,156249224,-,-0.0867,4.7835507,7.3623304,1.0030291338460633,True
GLMP,ENSG00000198715,1,156295689,156290089,-,-0.0403,2.7197382,7.090908,1.298858375628537,True
SH2D2A,ENSG00000027869,1,156816862,156806243,-,-0.0558,1.5474398,6.684736,1.1161040957195407,True
FCRL3,ENSG00000160856,1,157700769,157674321,-,-0.1464,4.0108805,7.7048597,1.8015068540928147,True
FCRL1,ENSG00000163534,1,157820120,157794403,-,-0.2518,5.1121716,7.6583214,1.1887086265163564,True
IGSF8,ENSG00000162729,1,160098943,160091340,-,-0.0822,5.0584598,8.055734,1.89868415052285,True
AL121985.3,ENSG00000275801,1,160776608,160775954,-,-0.0785,1.441227,6.3912,1.1385441760091983,True
LINC01675,ENSG00000234142,1,166490307,166474879,-,-0.0448,0.3435876,5.279733,1.5638483500963227,True
CD247,ENSG00000198821,1,167518610,167430640,-,-0.0867,2.7489555,7.3254213,1.58109413738706,True
AL031733.2,ENSG00000241666,1,167630674,167627385,-,-0.1179,2.841704,6.953863,1.133925399738566,True
AL645568.1,ENSG00000203739,1,173489407,173417793,-,-0.0048,2.5238051,7.0765157,1.2776768790981128,True
ASTN1,ENSG00000152092,1,177164973,176857302,-,-0.01,0.41862252,5.6073084,1.8284752109908315,True
AL390718.1,ENSG00000261817,1,180123890,180117140,-,-0.0061,0.25790092,4.570903,0.9912300679300001,True
RNASEL,ENSG00000135828,1,182589256,182573634,-,-0.0959,3.6212018,7.2332964,1.1674279812787385,True
NIBAN1,ENSG00000135842,1,184974508,184790724,-,-0.0212,2.990804,7.3622127,1.6253723437472445,True
AL390957.1,ENSG00000285280,1,192957713,192167786,-,0.0152,0.32565266,4.5322795,0.9600287707858619,True
AL450352.1,ENSG00000287989,1,198519877,198450666,-,-0.0652,1.1686468,6.2219906,0.9544917816285691,True
DDX59,ENSG00000118197,1,200669907,200623896,-,-0.0499,3.2957165,7.15077,1.163762860160016,True
KIF21B,ENSG00000116852,1,201023700,200969390,-,-0.074,3.5367699,7.389202,1.4628617893818752,True
KLHL12,ENSG00000117153,1,202928636,202891116,-,-0.0663,4.285975,7.589678,1.4653576438196152,True
PLEKHA6,ENSG00000143850,1,204377665,204218853,-,-0.0422,1.9219536,8.02222,2.5445567147489214,True
NUAK2,ENSG00000163545,1,205321760,205302063,-,-0.1633,5.098878,7.8833637,1.4569629864752254,True
SLC41A1,ENSG00000133065,1,205813748,205789094,-,-0.0929,3.4104407,7.4003763,1.4768791730231614,True
C1orf147,ENSG00000162888,1,206497728,206491116,-,-0.0443,0.22183019,4.707799,1.1018196159454683,True
C1orf74,ENSG00000162757,1,209784559,209779208,-,-0.0167,2.3900645,7.3970532,1.6270433479486381,True
IRF6,ENSG00000117595,1,209806175,209785617,-,-0.0453,1.4637034,7.1043997,1.9143050652842737,True
BPNT1,ENSG00000162813,1,220090462,220057482,-,-0.0829,3.3121693,7.015799,0.9944494468893726,True
HHIPL2,ENSG00000143512,1,222548104,222522258,-,-0.001,0.40124872,4.946347,1.2945273694349224,True
WDR26,ENSG00000162923,1,224437033,224385143,-,-0.0829,2.980688,7.3996015,1.6703696111462112,True
TMEM63A,ENSG00000196187,1,225882380,225845536,-,-0.0421,3.826952,8.201496,2.469299739172863,True
ITPKB,ENSG00000143772,1,226739323,226631690,-,-0.0579,2.3562093,7.1788054,1.3891664104368613,True
PCNX2,ENSG00000135749,1,233295725,232983435,-,-0.0926,3.2424865,7.7239466,1.8827791526156088,True
ZNF669,ENSG00000188295,1,247104372,247099962,-,-0.0589,3.1857443,7.044972,1.0310451425100045,True
ISG15,ENSG00000187608,1,1014540,1001138,+,-0.0754,5.446142,7.7583017,1.3078869357157088,True
AL645728.1,ENSG00000215014,1,1577075,1574102,+,-0.0527,1.521929,6.351852,1.095744465894462,True
AL109917.1,ENSG00000231050,1,1892658,1891471,+,0.0535,0.1890592,4.691815,1.088907127129944,True
PRXL2B,ENSG00000157870,1,2591469,2586491,+,-0.0329,2.490721,6.7936983,0.9694231396655435,True
LINC00337,ENSG00000225077,1,6239444,6234692,+,0.0513,0.29113212,4.571631,0.9918182774231926,True
ZBTB48,ENSG00000204859,1,6589280,6579994,+,-0.0432,3.405149,7.55068,1.6654265613294605,True
H6PD,ENSG00000049239,1,9271337,9234775,+,-0.0725,3.3564765,7.7584076,1.9260084910023867,True
PIK3CD,ENSG00000171608,1,9729114,9651731,+,-0.243,5.2238064,7.8685527,1.4393079722052584,True
DRAXIN,ENSG00000162490,1,11725857,11691710,+,-0.0038,0.5826717,6.0268025,1.2966332407088312,True
CLCN6,ENSG00000011021,1,11848079,11806096,+,-0.099,3.546674,7.1807446,1.2013640700718915,True
AL021155.5,ENSG00000285646,1,11914298,11907940,+,0.0184,0.32175094,4.710598,1.1040807749009627,True
MFN2,ENSG00000116688,1,12013514,11980181,+,-0.0897,4.683856,7.6453047,1.3685412693408137,True
TNFRSF1B,ENSG00000028137,1,12209228,12166991,+,-0.0877,4.3276725,7.881758,1.8495976362649742,True
VPS13D,ENSG00000048707,1,12512047,12230030,+,-0.0772,3.4718316,7.1665263,1.1835280051484525,True
ARHGEF10L,ENSG00000074964,1,17697874,17539698,+,-0.0434,1.4690295,7.468963,2.310847732665982,True
SLC66A1,ENSG00000040487,1,19329300,19312326,+,-0.0538,3.0788825,7.006698,0.9830328818907557,True
OTUD3,ENSG00000169914,1,19912945,19882395,+,-0.0727,2.7677994,7.2363415,1.4738868996384238,True
NBPF3,ENSG00000142794,1,21485005,21440128,+,-0.0225,1.5205597,6.7963724,1.579257903540706,True
ZBTB40,ENSG00000184677,1,22531157,22428838,+,-0.0759,4.1168957,7.202176,0.9555882260363289,True
AL109936.6,ENSG00000284726,1,23302866,23297797,+,-0.0467,0.2285914,4.9021444,1.258818777412038,True
RPS6KA1,ENSG00000117676,1,26575030,26529761,+,-0.1592,5.108856,7.6467266,1.1748874576232584,True
ARID1A,ENSG00000117713,1,26782104,26693236,+,-0.1197,4.698302,7.3819304,1.0283459490546374,True
PIGV,ENSG00000060642,1,26798398,26787472,+,-0.0348,2.812484,6.8448534,1.0027326271320394,True
ZDHHC18,ENSG00000204160,1,26857604,26826688,+,-0.0404,1.0435048,6.215982,0.9479560850355929,True
PPP1R8,ENSG00000117751,1,27851676,27830782,+,-0.062,3.3003016,7.512277,1.617252198168316,True
XKR8,ENSG00000158156,1,27968096,27959462,+,-0.0908,4.125549,7.833197,1.7857141470543054,True
GMEB1,ENSG00000162419,1,28719353,28668732,+,-0.0487,4.0388474,7.4420147,1.4480771609407408,True
MATN1-AS1,ENSG00000186056,1,30726827,30718504,+,-0.1147,2.6297133,6.8904896,1.05765557667528,True
LCK,ENSG00000182866,1,32286165,32251239,+,-0.1576,4.9111314,8.007118,1.8358885447965225,True
ZNF362,ENSG00000160094,1,33300719,33256492,+,-0.0529,2.6216547,6.9659777,1.148505180066817,True
TFAP2E,ENSG00000116819,1,35595328,35573314,+,0.0357,0.24253875,4.968617,1.3125176431484582,True
AGO4,ENSG00000134698,1,35857890,35808016,+,-0.0796,2.302374,6.93182,1.1199672952646083,True
ADPRHL2,ENSG00000116863,1,36093932,36088892,+,-0.0582,5.203173,7.972322,1.5630027729338325,True
ZC3H12A,ENSG00000163874,1,37484377,37474580,+,-0.1057,4.1982617,7.5923653,1.4688930655123817,True
MACF1,ENSG00000127603,1,39487177,39081316,+,-0.1349,4.766249,7.3730454,1.0168694937757992,True
ZFP69B,ENSG00000187801,1,40463718,40450102,+,-0.0258,2.3243275,7.0047174,1.1994210685435271,True
ZNF691,ENSG00000164011,1,42852477,42846573,+,-0.0797,3.668048,7.6052175,1.6675247200325145,True
CDC20,ENSG00000117399,1,43363203,43358981,+,0.4476,5.1211705,7.5470443,1.0560643972542312,True
SZT2,ENSG00000198198,1,43454247,43389882,+,-0.0155,3.5589116,7.6602926,1.802928995705027,True
IPO13,ENSG00000117408,1,43968022,43946950,+,-0.0043,3.2960396,7.4342837,1.5194140425865401,True
DMAP1,ENSG00000178028,1,44220681,44213455,+,-0.0403,4.8198066,7.379282,1.02492512403351,True
ARMH1,ENSG00000198520,1,44725591,44674692,+,-0.0107,0.26041198,4.672584,1.0733717709672372,True
PLK3,ENSG00000173846,1,44805990,44800377,+,-0.0841,3.789537,7.5275598,1.5631037387530633,True
MAST2,ENSG00000086015,1,46036122,45786987,+,-0.0206,2.548487,6.792556,0.9397926921843406,True
ZFYVE9,ENSG00000157077,1,52346686,52142094,+,-0.0616,2.1361167,7.368414,1.5958282333342413,True
LEXM,ENSG00000162398,1,54842252,54806063,+,0.0711,0.24431148,4.8579965,1.2231544840739716,True
PATJ,ENSG00000132849,1,62178675,61742406,+,-0.1381,3.358548,7.181095,1.2018037208774026,True
RAVER2,ENSG00000162437,1,64833232,64745095,+,-0.0489,0.85778606,6.5468483,1.8814666058793428,True
AL035409.1,ENSG00000230498,1,77086402,77067920,+,0.0196,0.29574698,5.088924,1.409705875991584,True
AL359762.1,ENSG00000284882,1,84583620,84574129,+,-0.0192,2.0846772,6.94623,1.135673340179729,True
BTBD8,ENSG00000189195,1,92184725,92080305,+,-0.0816,1.4671284,6.287157,1.0253746035619462,True
FNBP1L,ENSG00000137942,1,93554661,93448131,+,-0.0689,2.0617557,7.4478054,1.6823601212954578,True
AMPD2,ENSG00000116337,1,109632053,109616104,+,-0.0411,4.508769,7.3375382,1.1336609430402425,True
AHCYL1,ENSG00000168710,1,110023742,109984765,+,-0.0611,3.6776247,7.1812425,1.0974346347149948,True
STRIP1,ENSG00000143093,1,110074641,110031577,+,-0.0846,4.7425127,7.3653107,1.0068786398565144,True
KCNC4,ENSG00000116396,1,110283100,110211343,+,-0.0197,0.6710803,5.847082,1.0945231650486478,True
C1orf162,ENSG00000143110,1,111478512,111473792,+,-0.1749,3.5562782,7.068368,1.06039407689422,True
MOV10,ENSG00000155363,1,112700746,112673141,+,-0.0855,3.4614367,7.607656,1.7368994263608835,True
LRIG2,ENSG00000198799,1,113132260,113073198,+,-0.0822,3.450473,7.019675,0.9993113268175272,True
HIPK1,ENSG00000163349,1,113977869,113929324,+,-0.0157,2.871523,7.1383095,1.355905797610382,True
CD101,ENSG00000134256,1,117036476,117001750,+,-0.049,2.000784,8.102386,2.6301760637029,True
EMBP1,ENSG00000231752,1,121575702,121519112,+,-0.041,1.0042024,6.5044994,1.8338418979599362,True
AC241585.3,ENSG00000283752,1,145148375,145139986,+,-0.0249,0.20824152,4.7577643,1.1421834219337956,True
AC242988.2,ENSG00000285554,1,150181429,150173049,+,-0.0502,1.4019284,6.397122,1.144985475587658,True
PRPF3,ENSG00000117360,1,150353233,150321479,+,-0.1463,4.9274096,7.3779607,1.0232184070487162,True
TARS2,ENSG00000143374,1,150507609,150487364,+,-0.0551,4.6792746,7.3259273,0.9560078798691224,True
FALEC,ENSG00000228126,1,150518032,150515757,+,-0.0405,0.45362,4.912066,1.2668337577164626,True
PRUNE1,ENSG00000143363,1,151035713,151008420,+,-0.1011,3.9669802,7.215912,1.144052197565818,True
C1orf56,ENSG00000143443,1,151051986,151047751,+,-0.0089,2.5707364,7.0046988,1.1951058445466753,True
AL391069.2,ENSG00000237976,1,151348027,151346967,+,-0.0472,1.3044337,6.2162566,0.9482548360265901,True
TUFT1,ENSG00000143367,1,151583583,151540305,+,-0.0457,2.5045412,7.585886,1.832859580671402,True
SNX27,ENSG00000143376,1,151699091,151612006,+,-0.1405,4.596488,7.501655,1.1829920000322551,True
ADAM15,ENSG00000143537,1,155062775,155050566,+,0.0244,2.8562558,6.7989073,0.9474366610882333,True
MTX1P1,ENSG00000236675,1,155234325,155230975,+,-0.0373,0.28689364,4.7552767,1.1401738024668766,True
HCN3,ENSG00000143630,1,155289848,155277463,+,-0.0438,1.5751128,7.542213,2.03190244721418,True
SLC25A44,ENSG00000160785,1,156212796,156193932,+,-0.0424,4.141493,7.386848,1.1985292817998188,True
CD1D,ENSG00000158473,1,158184896,158179947,+,-0.0948,3.6962337,7.2057633,1.1304061718715372,True
CD1C,ENSG00000158481,1,158294774,158289923,+,-0.107,4.1815224,8.05719,2.080383013965578,True
LY9,ENSG00000122224,1,160828261,160796074,+,-0.2454,6.0745606,8.411159,1.7241709850513631,True
USP21,ENSG00000143258,1,161165723,161159450,+,-0.0981,4.127148,7.3358793,1.131478591714988,True
FCER1G,ENSG00000158869,1,161220699,161215234,+,0.0437,0.37920728,4.6768637,1.0768289944128184,True
FCRLA,ENSG00000132185,1,161714352,161706972,+,-0.4182,6.0331397,7.714518,0.9962685051047578,True
POGK,ENSG00000143157,1,166856344,166839447,+,-0.0538,3.9446456,7.46872,1.483985898854014,True
TBX19,ENSG00000143178,1,168314426,168280877,+,-0.0664,2.4335752,7.4960494,1.734943148902584,True
C1orf112,ENSG00000000460,1,169854080,169662007,+,-0.0098,2.9820025,7.552224,1.854050396354596,True
ZBTB37,ENSG00000185278,1,173903549,173868082,+,-0.0553,2.431448,7.010551,1.2057793661441754,True
CACNA1E,ENSG00000198216,1,181808084,181317690,+,0.0233,0.5975326,6.0559926,1.3294598195494653,True
RGL1,ENSG00000143344,1,183928531,183636085,+,0.0284,0.20234387,4.7665825,1.1493070356584902,True
PPP1R12B,ENSG00000077157,1,202592706,202348699,+,-0.0646,3.242511,7.475678,1.5713406907857401,True
AC098934.2,ENSG00000234996,1,202875241,202861754,+,0.027,0.2699751,4.911173,1.266112266962861,True
ATP2B4,ENSG00000058668,1,203744081,203626561,+,-0.0337,2.860337,6.8309445,0.9859933682012849,True
AC119673.2,ENSG00000286619,1,205896082,205813322,+,-0.0502,1.7134956,7.609828,2.104116304189027,True
SRGAP2,ENSG00000266028,1,206464443,206203345,+,-0.0554,2.911666,7.018021,1.2111392414840523,True
IKBKE,ENSG00000263528,1,206496889,206470476,+,-0.0707,4.354564,7.4418883,1.2709364243038355,True
IL24,ENSG00000162892,1,206904139,206897443,+,-0.0506,0.19037233,4.699414,1.0950457692278586,True
PFKFB2,ENSG00000123836,1,207081024,207034366,+,-0.0497,2.1800075,7.201533,1.4139379927925662,True
CR2,ENSG00000117322,1,207489895,207454230,+,-0.0617,2.458917,7.3980193,1.6280963078095922,True
HHAT,ENSG00000054392,1,210676296,210328252,+,-0.0566,2.1749697,7.2418485,1.457879577355228,True
FLVCR1,ENSG00000162769,1,212899363,212858275,+,-0.0254,2.343622,7.2491045,1.4657882102299267,True
RPS6KC1,ENSG00000136643,1,213274774,213051233,+,-0.0645,2.8716414,7.037026,1.2340114655556402,True
TGFB2,ENSG00000092969,1,218444619,218345336,+,-0.0425,0.5661606,5.9890146,1.2541376857332738,True
MARK1,ENSG00000116141,1,220664461,220528183,+,0.0,1.494951,6.802048,1.585431572023064,True
MARC2,ENSG00000117791,1,220784815,220748225,+,-0.0908,2.5852811,7.026478,1.2213168532340928,True
OBSCN,ENSG00000154358,1,228378876,228208063,+,-0.0586,2.269325,7.6599607,1.913596551332698,True
RNF187,ENSG00000168159,1,228496188,228487382,+,-0.0561,2.6471565,6.933883,1.1098796083690456,True
AL117350.1,ENSG00000237481,1,229323087,229319403,+,-0.0392,0.2768307,4.5084414,0.9407715546865304,True
MAP3K21,ENSG00000143674,1,233385148,233327724,+,-0.0349,0.93874556,5.9933534,1.2590169499921429,True
KMO,ENSG00000117009,1,241595642,241532134,+,-0.0982,2.4884293,7.0750604,1.276090682900861,True
WDR64,ENSG00000162843,1,241802133,241652278,+,0.0281,0.33613357,4.5615816,0.9837000619228443,True
CNST,ENSG00000162852,1,246668595,246566444,+,-0.152,4.3204837,7.256597,1.027180515314848,True
ZNF672,ENSG00000171161,1,248849517,248838210,+,-0.0468,3.8895323,7.4637957,1.4773645340396158,True
PGBD2,ENSG00000185220,1,248919946,248906196,+,-0.1404,3.973197,7.5828557,1.6374564016112867,True
TUBB8,ENSG00000261456,10,74163,46892,-,-0.0349,0.29917032,4.8116684,1.1857290291099225,True
IL2RA,ENSG00000134460,10,6062370,6010689,-,-0.1307,3.4586496,7.064784,1.055898273555144,True
AL354916.1,ENSG00000286439,10,10337876,10326875,-,-0.0483,0.34503627,5.3677034,1.6349138411052317,True
USP6NL,ENSG00000148429,10,11611754,11453946,-,-0.1032,3.4519944,7.0451937,1.0313232889379809,True
CUBN,ENSG00000107611,10,17129817,16823966,-,-0.0481,1.6939707,7.635654,2.1316988309178098,True
NSUN6,ENSG00000241058,10,18659285,18545561,-,-0.0622,3.2847555,7.0097756,0.9868934346781953,True
PRTFDC1,ENSG00000099256,10,24952606,24848614,-,0.0701,0.41119263,4.585618,1.0031175236994307,True
MPP7,ENSG00000150054,10,28334486,28050993,-,-0.0655,0.89449155,5.8071594,1.0496268554751174,True
ZNF438,ENSG00000183621,10,31031937,30820207,-,-0.0423,1.1203711,6.367671,1.112951174447115,True
ZNF25,ENSG00000175395,10,37976647,37949573,-,-0.0773,2.0841818,6.7843094,0.9591897834650561,True
ZNF239,ENSG00000196793,10,43574618,43556344,-,-0.0294,1.4801698,7.2675896,2.0918098337788837,True
MARCH8,ENSG00000165406,10,45594906,45454585,-,-0.0569,3.4271965,7.607902,1.737208079171283,True
BMS1P7,ENSG00000270025,10,48060016,48050282,-,-0.0666,0.84216917,5.8705735,1.12094111797899,True
PTPN20CP,ENSG00000278561,10,48119455,48064308,-,-0.0573,0.40446243,5.2047734,1.503293203567936,True
TMEM273,ENSG00000204161,10,49188585,49154725,-,-0.1819,4.4408154,7.4371915,1.2647575911466764,True
SGMS1,ENSG00000198964,10,50625163,50305586,-,-0.0679,3.5207918,7.0860496,1.0825746095733415,True
ANK3,ENSG00000151150,10,60733490,60026298,-,-0.1046,2.8543596,7.0243793,1.2187912445894957,True
TYSND1,ENSG00000156521,10,70146700,70137981,-,-0.0808,3.756776,7.149584,1.0548654206041843,True
PRF1,ENSG00000180644,10,70602759,70597348,-,-0.0297,0.37716317,4.8640194,1.2280200204908116,True
SPOCK2,ENSG00000107742,10,72089032,72059034,-,-0.1517,4.3660655,7.396875,1.2117199928281175,True
CAMK2G,ENSG00000148660,10,73874591,73812501,-,-0.1079,3.9135349,7.373071,1.3553735653476582,True
TMEM254-AS1,ENSG00000230091,10,80078912,80046860,-,0.0697,0.25199378,4.569068,0.9897477954153933,True
PANK1,ENSG00000152782,10,89645572,89579497,-,0.0647,0.19470727,4.711312,1.104657428215507,True
CYP2C8,ENSG00000138115,10,95069497,95036772,-,0.0708,0.4652581,4.973285,1.316288809447315,True
SLIT1,ENSG00000187122,10,97185959,96998038,-,0.0459,0.94248426,5.814525,1.0579101827645723,True
MMS19,ENSG00000155229,10,97498794,97458324,-,-0.0907,4.7383447,7.543364,1.2368666065497225,True
PYROXD2,ENSG00000119943,10,98415182,98383565,-,-0.0646,1.8495892,6.895967,1.341702183281129,True
ERLIN1,ENSG00000107566,10,100186033,100150094,-,-0.0501,3.2766495,6.9850774,0.9559109134234348,True
SEC31B,ENSG00000075826,10,100519864,100486646,-,-0.0845,3.430247,7.105403,1.1068523065029687,True
FBXW4,ENSG00000107829,10,101695295,101610664,-,-0.158,4.8107495,8.2669115,2.1714582986605406,True
ARMH3,ENSG00000120029,10,102056193,101845599,-,-0.0864,3.8533716,7.177583,1.0925142944820432,True
LDB1,ENSG00000198728,10,102120453,102107560,-,-0.0569,2.840214,7.7462244,2.0875288843884534,True
CALHM2,ENSG00000138172,10,103452402,103446786,-,-0.1988,5.038087,7.682821,1.4170000828422975,True
ITPRIP,ENSG00000148841,10,104338465,104309698,-,-0.0893,3.6617508,7.864625,2.016332217101796,True
