Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,means,dispersions,dispersions_norm,highly_variable,velocity_gamma,velocity_qreg_ratio,velocity_r2,velocity_genes
BSDC1,ENSG00000160058,1,32394731,32365103,-,-0.0923,4.782064,7.227627,1.3071124538942513,True,0.048007146,0.048007146,-0.6084079742431641,False
MTF1,ENSG00000188786,1,37859592,37809574,-,-0.0448,3.8869143,7.0233674,1.4595769525168123,True,0.1428162,0.1428162,-0.5813016891479492,False
INPP5B,ENSG00000204084,1,37947057,37860697,-,-0.1609,4.176379,7.166188,1.6188094403790283,True,0.132994,0.132994,0.30894243717193604,True
AL354702.2,ENSG00000284632,1,38815979,38754216,-,0.0098,0.97631526,5.3788843,1.0355026041261561,True,0.4198505,0.4198505,-0.20593643188476562,False
COL9A2,ENSG00000049089,1,40317813,40300489,-,-0.0633,3.870192,7.0146756,1.4484812390131678,True,0.02785127,0.02785127,-0.09879517555236816,False
HIVEP3,ENSG00000127124,1,42035925,41506365,-,-0.0628,1.7340181,7.355299,2.4129787126004643,True,0.022467794,0.022467794,-0.21878862380981445,False
FOXJ3,ENSG00000198815,1,42335877,42176539,-,-0.1018,3.0869558,6.643512,1.1098945783135272,True,0.36097828,0.36097828,-2.609614372253418,False
P3H1,ENSG00000117385,1,42767084,42746335,-,-0.0756,4.7594438,6.886927,0.8943271163795768,True,0.045668982,0.045668982,-3.036057472229004,False
SLC2A1,ENSG00000117394,1,42958868,42925375,-,-0.1797,4.133729,6.768322,1.0897968792521835,True,0.065494485,0.065494485,0.437244713306427,True
AL139289.2,ENSG00000234694,1,43358658,43354684,-,-0.0668,1.1648979,6.3273525,1.638649409353862,True,0.007701121,0.007701121,-0.2048959732055664,False
BEST4,ENSG00000142959,1,44788170,44783585,-,0.0795,0.16029583,4.099809,0.9092443286737467,True,0.16185856,0.16185856,0.9914522366598248,True
HECTD3,ENSG00000126107,1,45011324,45002540,-,-0.0446,4.520737,7.424494,1.9622597749971478,True,0.009644701,0.009644701,-0.898005485534668,False
IPP,ENSG00000197429,1,45750653,45694324,-,-0.031,3.0599947,6.4935536,0.9238671113912545,True,0.09310506,0.09310506,-0.31719183921813965,False
LRRC41,ENSG00000132128,1,46303608,46261196,-,-0.0499,5.501976,6.9313626,0.9380449381189685,True,0.054776825,0.054776825,-6.406355857849121,False
TTC39A,ENSG00000085831,1,51345116,51287258,-,0.0039,0.5406013,5.5167,1.1938723464610554,True,0.14179076,0.14179076,-0.2540353536605835,False
CC2D1B,ENSG00000154222,1,52366193,52345723,-,-0.1001,3.3520262,7.1929903,1.79153882599851,True,0.06458491,0.06458491,-0.2777923345565796,False
COA7,ENSG00000162377,1,52698347,52684449,-,0.0086,3.8897533,6.6631804,0.9997713884336794,True,0.06256714,0.06256714,-2.41546368598938,False
ECHDC2,ENSG00000121310,1,52927212,52895910,-,-0.1007,3.0434859,6.574286,1.2156466285620768,True,0.23746528,0.23746528,0.38025522232055664,True
LRP8,ENSG00000157193,1,53328469,53242364,-,-0.0576,2.0042832,6.4901357,1.4509172510051032,True,0.41375914,0.41375914,-0.8675267696380615,False
TTC22,ENSG00000006555,1,54801323,54779712,-,-0.0669,1.8652561,6.136306,1.0574585102156022,True,0.03667193,0.03667193,-0.39334309101104736,False
USP24,ENSG00000162402,1,55215364,55066359,-,-0.1787,3.9002438,6.6894455,1.033300798747907,True,0.10071543,0.10071543,-3.139601230621338,False
DOCK7,ENSG00000116641,1,62688386,62454298,-,-0.0747,1.3598408,5.7766385,1.019313308221249,True,0.21940884,0.21940884,0.008752226829528809,False
SLC44A5,ENSG00000137968,1,75611116,75202131,-,-0.0571,1.1446443,6.0047655,1.2758662273961272,True,0.2668553,0.2668553,-0.3009672164916992,False
GBP1,ENSG00000117228,1,89065230,89052319,-,-0.0351,2.5529091,6.8730726,1.5601030382600876,True,0.0019193746,0.0019193746,-0.1454852819442749,False
GBP2,ENSG00000162645,1,89150456,89106132,-,-0.0875,2.2056708,7.019581,1.833894442840451,True,0.00027517887,0.00027517887,-0.7042325735092163,False
GBP4,ENSG00000162654,1,89198942,89181144,-,-0.1136,2.1910217,6.505274,1.2663237955239115,True,0.037423767,0.037423767,-0.4150197505950928,False
DPYD,ENSG00000188641,1,97995000,97077743,-,-0.1044,2.3899193,7.083347,1.9042642994609138,True,0.13896306,0.13896306,-0.5088106393814087,False
VAV3,ENSG00000134215,1,107965180,107571161,-,-0.0988,1.7011316,6.5620446,1.5308799912343645,True,0.76981974,0.76981974,0.2645907998085022,True
DENND2D,ENSG00000162777,1,111204535,111185969,-,-0.1777,4.0307007,6.88697,1.2854555752475858,True,0.08971091,0.08971091,0.07358723878860474,True
RHOC,ENSG00000155366,1,112707434,112701106,-,-0.1328,2.0284991,6.297624,1.2368444328981647,True,0.0005177168,0.0005177168,-0.2339463233947754,False
TRIM33,ENSG00000197323,1,114511203,114392790,-,-0.1001,3.1519713,7.006888,1.5606733477475307,True,0.11872661,0.11872661,-3.859834671020508,False
TRIM45,ENSG00000134253,1,117122587,117111060,-,-0.0084,0.94522864,5.557834,1.2411416213296462,True,0.24227671,0.24227671,-0.8547331094741821,False
NBPF20,ENSG00000162825,1,145405778,145289900,-,-0.0755,1.550209,6.750082,1.73997754083668,True,0.06981941,0.06981941,-0.31489014625549316,False
PIAS3,ENSG00000131788,1,145859836,145848522,-,-0.0762,3.8491683,6.622394,0.9477046858588373,True,0.029034479,0.029034479,-0.5418668985366821,False
ACP6,ENSG00000162836,1,147670524,147629652,-,-0.1161,3.009505,6.738445,1.4048972527090147,True,0.0096261855,0.0096261855,-0.3627244234085083,False
NBPF11,ENSG00000263956,1,148152322,148102046,-,-0.1571,2.746778,6.3465524,0.9531037573880883,True,0.044177484,0.044177484,-0.8808329105377197,False
NBPF14,ENSG00000270629,1,148679742,148531385,-,-0.0785,1.419368,6.683646,2.0393392977008635,True,0.2667397,0.2667397,0.06925070285797119,True
AC244033.2,ENSG00000285184,1,150067701,150045660,-,0.0462,0.21938086,4.1685357,0.9682645235794523,True,0.3157572,0.3157572,0.05470085144042969,True
CTSK,ENSG00000143387,1,150808260,150796208,-,-0.0798,2.0070481,6.3909883,1.340665449410652,True,0.23025087,0.23025087,-0.0700918436050415,False
RFX5,ENSG00000143390,1,151347357,151340640,-,-0.1882,4.2502155,6.709527,1.011621568320105,True,0.005243159,0.005243159,-2.3327982425689697,False
IL6R-AS1,ENSG00000228013,1,154406564,154402328,-,-0.0697,1.81039,7.1303716,2.162859456444632,True,0.032657333,0.032657333,-0.6588670015335083,False
UBE2Q1,ENSG00000160714,1,154559028,154548577,-,0.0131,2.9560533,6.451495,1.0740871441090605,True,0.26576844,0.26576844,-1.7699549198150635,False
PBXIP1,ENSG00000163346,1,154956123,154944076,-,-0.2218,4.794512,7.219435,1.2971876823925914,True,0.01748642,0.01748642,-0.3979436159133911,False
GBAP1,ENSG00000160766,1,155227422,155213821,-,-0.0556,2.0689018,6.8882084,1.6889165516308187,True,0.11988189,0.11988189,0.4528815746307373,True
RIT1,ENSG00000143622,1,155911404,155897808,-,-0.1742,3.552673,6.5684624,1.0167935941047526,True,0.013754754,0.013754754,-0.5523236989974976,False
SMG5,ENSG00000198952,1,156282825,156249224,-,-0.132,4.773314,7.1850195,1.255490238820072,True,0.046054944,0.046054944,-0.22440171241760254,False
GLMP,ENSG00000198715,1,156295689,156290089,-,-0.092,2.9332073,7.254275,1.999572314103197,True,0.0012639075,0.0012639075,0.13031065464019775,False
SH2D2A,ENSG00000027869,1,156816862,156806243,-,-0.1069,1.892055,6.6933346,1.6768744017342427,True,0.022850854,0.022850854,-0.2812507152557373,False
FCRL3,ENSG00000160856,1,157700769,157674321,-,-0.1217,3.4317095,8.075971,2.886901866234188,True,0.0251563,0.0251563,0.02362191677093506,True
FCRL2,ENSG00000132704,1,157777132,157745733,-,-0.1651,4.5225267,6.7982345,1.1295692708604317,True,0.060272142,0.060272142,-0.10279488563537598,False
FCRL1,ENSG00000163534,1,157820120,157794403,-,-0.2285,4.1597433,7.224975,1.696974607071963,True,0.5874268,0.5874268,0.6961535215377808,True
CFAP45,ENSG00000213085,1,159900165,159872364,-,0.0961,0.42925984,4.4177165,1.1822531675250192,True,0.59730184,0.59730184,-0.13418233394622803,False
IGSF8,ENSG00000162729,1,160098943,160091340,-,-0.0799,4.7565165,7.295552,1.3894090820821536,True,0.014258842,0.014258842,0.20065093040466309,True
AL121985.3,ENSG00000275801,1,160776608,160775954,-,-0.0836,1.0921627,6.532782,1.8696766491471042,True,0.062309913,0.062309913,0.9999999999999749,True
USF1,ENSG00000158773,1,161045977,161039251,-,-0.1495,4.2795205,6.7292676,1.037869153089834,True,0.14279518,0.14279518,-0.18044579029083252,False
ARHGAP30,ENSG00000186517,1,161069970,161046946,-,-0.2178,5.229767,7.0929914,1.1389404340934766,True,0.023695232,0.023695232,-0.15816724300384521,False
LINC01675,ENSG00000234142,1,166490307,166474879,-,-0.0813,0.48539335,5.2887783,1.930293700542453,True,1.4321833,1.4321833,0.99720871867612,True
CD247,ENSG00000198821,1,167518610,167430640,-,-0.0808,1.7044827,7.0879073,2.1156392111701257,True,0.0024872613,0.0024872613,-0.22281265258789062,False
RC3H1,ENSG00000135870,1,174022297,173931214,-,-0.0968,3.6157014,6.713847,1.064451338732299,True,0.22495122,0.22495122,-4.6106390953063965,False
TNR,ENSG00000116147,1,175743616,175315194,-,-0.0783,0.16694362,4.082513,0.8943907969328555,True,41.347267,41.347267,0.25937509536743164,True
COP1,ENSG00000143207,1,176207286,175944831,-,-0.0146,3.259328,6.5074825,0.9411463086065955,True,0.55902904,0.55902904,-0.7267762422561646,False
ASTN1,ENSG00000152092,1,177164973,176857302,-,-0.0348,0.5834715,5.616446,1.3084950639575652,True,0.03866459,0.03866459,0.6135843992233276,True
RNASEL,ENSG00000135828,1,182589256,182573634,-,-0.1418,3.4078095,6.8872547,1.4122648540239442,True,0.042830367,0.042830367,0.15928316116333008,True
NIBAN1,ENSG00000135842,1,184974508,184790724,-,-0.0749,3.3393087,7.412337,2.0636446271230353,True,0.10864686,0.10864686,-1.3136239051818848,False
AL390957.1,ENSG00000285280,1,192957713,192167786,-,0.0142,0.37563196,4.680681,1.408079019367202,True,0.53886735,0.53886735,-1.9742791652679443,False
KIF21B,ENSG00000116852,1,201023700,200969390,-,-0.0739,3.3183062,7.4701853,2.135407331877187,True,0.0099914195,0.0099914195,-0.7735077142715454,False
PTPN7,ENSG00000143851,1,202161588,202147013,-,-0.0573,5.315128,6.8897157,0.8862800908850367,True,0.04495934,0.04495934,-3.3999252319335938,False
KLHL12,ENSG00000117153,1,202928636,202891116,-,-0.0619,4.143388,6.963668,1.3495337823806368,True,0.040083844,0.040083844,-0.551535964012146,False
LINC01136,ENSG00000233791,1,203305309,203298758,-,0.0515,0.5036712,4.287309,1.0702634430846392,True,1.7736108,1.7736108,-0.027083396911621094,False
NUAK2,ENSG00000163545,1,205321760,205302063,-,-0.1697,4.667736,7.4575067,1.585630578788005,True,0.032227367,0.032227367,-0.8153089284896851,False
SLC41A1,ENSG00000133065,1,205813748,205789094,-,-0.0496,2.5451264,6.441718,1.0628156424286483,True,0.13289243,0.13289243,0.6398067474365234,True
FCMR,ENSG00000162894,1,206923247,206903317,-,-0.4474,5.687642,7.67713,1.1484978302805928,True,0.06215194,0.06215194,0.5596443712711334,True
PACC1,ENSG00000065600,1,212414901,212363931,-,-0.0949,3.8341205,6.610077,0.9319808886505512,True,0.15831639,0.15831639,0.008561789989471436,False
WDR26,ENSG00000162923,1,224437033,224385143,-,-0.0852,2.5702984,6.6801667,1.3377113186289997,True,0.2526123,0.2526123,-2.9339895248413086,False
ITPKB,ENSG00000143772,1,226739323,226631690,-,-0.0838,1.9819195,6.101328,1.0185630774235197,True,1.2017915,1.2017915,0.059075355529785156,True
LYST,ENSG00000143669,1,235883640,235661041,-,-0.1795,3.4587388,7.062255,1.6293577278189042,True,0.14273861,0.14273861,0.35396039485931396,True
LINC01347,ENSG00000214837,1,243101744,243056307,-,-0.0716,0.77450067,5.3194985,0.96725983172241,True,0.11352236,0.11352236,-0.18368995189666748,False
ZNF669,ENSG00000188295,1,247104372,247099962,-,-0.0022,2.8277993,6.6979504,1.3582132038792423,True,0.0064928723,0.0064928723,-0.1101912260055542,False
AL390728.4,ENSG00000227671,1,247210856,247189851,-,-0.0838,2.4015727,6.221254,0.9528896437937736,True,0.59630466,0.59630466,-1.355480670928955,False
ISG15,ENSG00000187608,1,1014540,1001138,+,-0.1328,5.3210177,7.460264,1.5954401248474221,True,7.6039316e-05,7.6039316e-05,-0.8771251440048218,False
SKI,ENSG00000157933,1,2310213,2228319,+,-0.0716,1.0329995,5.676437,0.9066260138116219,True,3.8118498,3.8118498,0.28348928689956665,True
LINC01134,ENSG00000236423,1,3917225,3900352,+,0.0894,0.33339447,4.127341,0.9328876230154218,True,2.3101807,2.3101807,-0.3759952783584595,False
LINC00337,ENSG00000225077,1,6239444,6234692,+,0.0376,0.41541865,4.5799565,1.3215798112154866,True,0.09351181,0.09351181,0.5664655864238739,True
H6PD,ENSG00000049239,1,9271337,9234775,+,-0.1045,3.4424162,8.025264,2.8239985136656567,True,0.004933335,0.004933335,-0.46650946140289307,False
PIK3CD,ENSG00000171608,1,9729114,9651731,+,-0.2691,4.7909417,7.8069544,2.0090148951704516,True,0.04769154,0.04769154,0.474159836769104,True
DISP3,ENSG00000204624,1,11537551,11479155,+,0.0436,0.19154295,4.2939816,1.0759934756060818,True,0.07621056,0.07621056,0.5404680073261261,True
DRAXIN,ENSG00000162490,1,11725857,11691710,+,-0.0266,0.79080147,6.0359397,1.7905534469801552,True,0.025566602,0.025566602,0.8283740878105164,True
CLCN6,ENSG00000011021,1,11848079,11806096,+,-0.0682,3.0596807,6.5037904,0.9365660880034534,True,0.14422798,0.14422798,-1.1140258312225342,False
AL021155.5,ENSG00000285646,1,11914298,11907940,+,0.0022,0.43082842,4.7865605,1.4990048445100408,True,1.3039342,1.3039342,-2.521682024002075,False
MFN2,ENSG00000116688,1,12013514,11980181,+,-0.0717,4.4370227,7.0640373,1.482987588467263,True,0.030861495,0.030861495,-1.2991437911987305,False
TNFRSF1B,ENSG00000028137,1,12209228,12166991,+,-0.1372,4.214169,7.9769793,2.6968586566877035,True,0.11216522,0.11216522,-0.84828782081604,False
PADI4,ENSG00000159339,1,17364004,17308195,+,-0.0053,1.5820332,5.999631,0.905476067399545,True,0.0132396035,0.0132396035,-0.26484644412994385,False
SLC66A1,ENSG00000040487,1,19329300,19312326,+,-0.0667,3.0406065,7.374073,2.13768174273558,True,0.110227324,0.110227324,-1.2599258422851562,False
OTUD3,ENSG00000169914,1,19912945,19882395,+,-0.0684,2.4627945,7.045887,1.8629249621075974,True,0.0069584753,0.0069584753,-0.44871366024017334,False
NBPF3,ENSG00000142794,1,21485005,21440128,+,-0.0615,1.7293789,6.945122,1.9568617064456444,True,0.029413544,0.029413544,0.9770955983549356,True
RPS6KA1,ENSG00000117676,1,26575030,26529761,+,-0.2029,4.9740434,7.579219,1.73309480843043,True,0.0178496,0.0178496,-0.23694026470184326,False
ARID1A,ENSG00000117713,1,26782104,26693236,+,-0.1013,4.3625827,6.969187,1.356871871371309,True,0.152766,0.152766,-0.8280260562896729,False
PIGV,ENSG00000060642,1,26798398,26787472,+,-0.0656,2.8458622,6.465023,1.0896827597291003,True,0.15446608,0.15446608,-1.826124668121338,False
WDTC1,ENSG00000142784,1,27308636,27234632,+,-0.075,2.6242623,6.608708,1.2553299666085849,True,0.09587787,0.09587787,-0.4811539649963379,False
TMEM222,ENSG00000186501,1,27336400,27322145,+,-0.1009,4.7765408,6.9291153,0.9454415094530603,True,0.05334511,0.05334511,-1.0821664333343506,False
PPP1R8,ENSG00000117751,1,27851676,27830782,+,-0.0414,3.0128658,6.3841043,0.9963954712164061,True,0.2080086,0.2080086,-0.18553578853607178,False
XKR8,ENSG00000158156,1,27968096,27959462,+,-0.087,3.7118964,6.863833,1.2559193556610249,True,0.005577341,0.005577341,-0.8593900203704834,False
SESN2,ENSG00000130766,1,28282491,28259518,+,0.0276,3.6453683,6.6114144,0.9336883429174879,True,0.07314457,0.07314457,-0.5071322917938232,False
PHACTR4,ENSG00000204138,1,28500364,28369582,+,-0.0557,3.419528,6.7089133,1.1910271260682952,True,0.24788451,0.24788451,-0.9544754028320312,False
RCC1,ENSG00000180198,1,28539300,28505943,+,0.2042,4.382793,6.8680615,1.2224131515944967,True,0.06537435,0.06537435,0.1392255425453186,True
GMEB1,ENSG00000162419,1,28719353,28668732,+,-0.0731,4.0819016,7.2838507,1.775257066529998,True,0.02774937,0.02774937,-0.5247211456298828,False
MATN1-AS1,ENSG00000186056,1,30726827,30718504,+,-0.1315,1.9546728,6.475537,1.4346833364215439,True,0.21587096,0.21587096,-0.7096641063690186,False
LCK,ENSG00000182866,1,32286165,32251239,+,-0.1876,4.607507,8.104556,2.369583536565763,True,0.095302485,0.095302485,-0.45779848098754883,False
HDAC1,ENSG00000116478,1,32333635,32292083,+,-0.1927,5.882761,7.389979,0.890152474743807,True,0.006365482,0.006365482,-1.4248321056365967,False
AGO4,ENSG00000134698,1,35857890,35808016,+,-0.0268,1.1312126,5.8569646,1.1096484730513518,True,0.54741436,0.54741436,-0.9050189256668091,False
ADPRHL2,ENSG00000116863,1,36093932,36088892,+,-0.1159,5.351819,7.90791,2.151838740042267,True,0.0017314892,0.0017314892,-0.32033538818359375,False
ZC3H12A,ENSG00000163874,1,37484377,37474580,+,-0.1419,4.14294,7.434908,1.976106661428484,True,0.111050844,0.111050844,0.38349616527557373,True
MACF1,ENSG00000127603,1,39487177,39081316,+,-0.1164,4.3449354,6.6411977,0.9207691285329643,True,0.11205475,0.11205475,-2.2309417724609375,False
ZNF684,ENSG00000117010,1,40548167,40531573,+,-0.0144,1.7640958,6.1058292,1.0235685697696393,True,0.1577461,0.1577461,-0.26814746856689453,False
ZNF691,ENSG00000164011,1,42852477,42846573,+,-0.0468,2.895515,6.7065043,1.3680746684054281,True,0.10150645,0.10150645,-4.6101484298706055,False
TMEM125,ENSG00000179178,1,43274002,43269983,+,0.0658,1.4392698,5.925512,1.18673709729143,True,0.037809454,0.037809454,-0.1921597719192505,False
CDC20,ENSG00000117399,1,43363203,43358981,+,0.4337,5.5080996,7.5397773,1.6942704436143716,True,0.008296002,0.008296002,0.39901864528656006,False
IPO13,ENSG00000117408,1,43968022,43946950,+,-0.0073,3.397449,6.800756,1.304960631160637,True,0.095609725,0.095609725,-1.7172839641571045,False
PLK3,ENSG00000173846,1,44805990,44800377,+,-0.0675,3.335048,7.0828476,1.6549035636664176,True,0.006764947,0.006764947,-0.02064049243927002,False
MAST2,ENSG00000086015,1,46036122,45786987,+,-0.0229,2.4379237,6.1924787,0.9211343560237761,True,0.47643423,0.47643423,-0.8055477142333984,False
ZFYVE9,ENSG00000157077,1,52346686,52142094,+,-0.1091,1.7229022,6.3227024,1.2647314942286172,True,0.11883758,0.11883758,-0.7655527591705322,False
LEXM,ENSG00000162398,1,54842252,54806063,+,0.0694,0.35188165,4.8670106,1.5680928289942635,True,0.83193797,0.83193797,-0.008167862892150879,False
PATJ,ENSG00000132849,1,62178675,61742406,+,-0.1322,2.3853135,6.8404922,1.636258742719406,True,0.12412573,0.12412573,0.1199832558631897,True
IFI44,ENSG00000137965,1,78664078,78649796,+,-0.0117,0.28905523,4.756194,1.4729271155696395,True,0.16280103,0.16280103,0.9999999999999798,True
LINC01781,ENSG00000234184,1,80646791,80535755,+,-0.387,4.1284766,6.6579623,0.9430598260216507,True,0.06748704,0.06748704,0.7427351474761963,True
AL359762.1,ENSG00000284882,1,84583620,84574129,+,-0.0501,2.2437434,7.090767,1.9124528129164688,True,0.028987963,0.028987963,-0.04008376598358154,False
BTBD8,ENSG00000189195,1,92184725,92080305,+,-0.0845,0.6953346,5.589759,1.2778277074796145,True,0.01439063,0.01439063,-0.2090320587158203,False
AGL,ENSG00000162688,1,99924023,99850361,+,-0.1177,3.1661222,6.8424,1.3566213551894135,True,0.100276835,0.100276835,-0.40309906005859375,False
CDC14A,ENSG00000079335,1,100520277,100345001,+,-0.1523,2.2379403,6.277013,1.0144232098194366,True,0.13493897,0.13493897,-1.0178074836730957,False
CYB561D1,ENSG00000174151,1,109502932,109494052,+,-0.0672,0.9248143,5.8180823,1.5402041013363632,True,0.010154506,0.010154506,-0.9564847946166992,False
STRIP1,ENSG00000143093,1,110074641,110031577,+,-0.0608,4.4722724,6.86487,1.2181696895576408,True,0.035730936,0.035730936,-0.3761240243911743,False
KCNC4,ENSG00000116396,1,110283100,110211343,+,-0.0517,0.8991147,5.8557825,1.583527009571863,True,0.026960734,0.026960734,-0.33051204681396484,False
MOV10,ENSG00000155363,1,112700746,112673141,+,0.0019,1.8761504,6.156201,1.0795818319483512,True,0.018540857,0.018540857,-0.27831971645355225,False
LRIG2,ENSG00000198799,1,113132260,113073198,+,-0.1067,3.2242415,6.6504016,1.1184416023991273,True,0.072441906,0.072441906,-0.9915663003921509,False
SLC22A15,ENSG00000163393,1,116070054,115976513,+,-0.0095,0.3048217,4.2478356,1.0363648114695407,True,0.26379693,0.26379693,-0.1233820915222168,False
EMBP1,ENSG00000231752,1,121575702,121519112,+,0.0037,0.3388641,4.9413805,1.6319593709943216,True,0.3978014,0.3978014,0.677433043718338,True
AC241585.3,ENSG00000283752,1,145148375,145139986,+,-0.0548,0.3021839,4.7668614,1.482087878632399,True,0.9990601,0.9990601,0.990246263332665,True
AC242988.2,ENSG00000285554,1,150181429,150173049,+,-0.0587,1.2584805,6.289384,1.5959496667815478,True,0.01744483,0.01744483,-0.5480363368988037,False
PRPF3,ENSG00000117360,1,150353233,150321479,+,-0.1182,4.605447,6.9053187,0.9166100453521031,True,0.08229873,0.08229873,0.4125043749809265,True
RPRD2,ENSG00000163125,1,150476566,150363091,+,-0.0862,3.7602546,6.6094723,0.931209034101362,True,0.23905244,0.23905244,-0.7473635673522949,False
ANXA9,ENSG00000143412,1,150995634,150982249,+,-0.0414,0.9630711,5.7371516,1.447203111273224,True,0.5819493,0.5819493,0.2610543966293335,True
PRUNE1,ENSG00000143363,1,151035713,151008420,+,-0.1941,4.1310205,7.1576967,1.6075195362268855,True,0.031751163,0.031751163,0.2895967960357666,True
PIP5K1A,ENSG00000143398,1,151249536,151197949,+,-0.1434,3.6433125,6.966639,1.3871589777471411,True,0.044695787,0.044695787,-1.6502857208251953,False
AL391069.2,ENSG00000237976,1,151348027,151346967,+,-0.0775,1.4602073,6.3646274,1.680568902692977,True,0.0013933182,0.0013933182,-0.5463725328445435,False
