Gene,Accession,Chromosome,End,Start,Strand
RPL27A,ENSG00000166441,11,8714759,8682788,+
SWAP70,ENSG00000133789,11,9752993,9664077,+
USP47,ENSG00000170242,11,11961887,11841423,+
PDHX,ENSG00000110435,11,35020591,34915829,+
TTC17,ENSG00000052841,11,43494933,43358920,+
CD82,ENSG00000085117,11,44620358,44564427,+
SLC39A13,ENSG00000165915,11,47416496,47407132,+
TMEM109,ENSG00000110108,11,60923443,60914158,+
TMEM138,ENSG00000149483,11,61369509,61362344,+
FADS2,ENSG00000134824,11,61867354,61792980,+
PLCB3,ENSG00000149782,11,64269150,64251523,+
PPP2R5B,ENSG00000068971,11,64934475,64917553,+
KAT5,ENSG00000172977,11,65719604,65711996,+
RBM14-RBM4,ENSG00000248643,11,66646469,66616626,+
C11orf80,ENSG00000173715,11,66843328,66744451,+
GRK2,ENSG00000173020,11,67286556,67266473,+
GSTP1,ENSG00000084207,11,67586656,67583595,+
TCIRG1,ENSG00000110719,11,68050895,68039025,+
NADSYN1,ENSG00000172890,11,71524107,71453109,+
SPCS2,ENSG00000118363,11,74979033,74949247,+
RPS3,ENSG00000149273,11,75422280,75399515,+
HIKESHI,ENSG00000149196,11,86345943,86302211,+
VPS11,ENSG00000160695,11,119081978,119067692,+
HMBS,ENSG00000256269,11,119093549,119084866,+
TBRG1,ENSG00000154144,11,124635926,124622836,+
STT3A,ENSG00000134910,11,125625215,125591712,+
FLI1,ENSG00000151702,11,128813267,128686535,+
RAD52,ENSG00000002016,12,990053,911736,-
CRACR2A,ENSG00000130038,12,3764819,3606633,-
CAPRIN2,ENSG00000110888,12,30754951,30709552,-
SINHCAF,ENSG00000139146,12,31327058,31280584,-
SLC38A1,ENSG00000111371,12,46270017,46183063,-
SLC38A2,ENSG00000134294,12,46372773,46358188,-
VDR,ENSG00000111424,12,47943048,47841537,-
ASB8,ENSG00000177981,12,48181213,48147789,-
TFCP2,ENSG00000135457,12,51173135,51093656,-
BAZ2A,ENSG00000076108,12,56636816,56595596,-
PTGES3,ENSG00000110958,12,56688408,56663341,-
NACA,ENSG00000196531,12,56731628,56712428,-
STAT6,ENSG00000166888,12,57132139,57095408,-
ARHGAP9,ENSG00000123329,12,57488814,57472264,-
CDK4,ENSG00000135446,12,57756013,57747727,-
AVIL,ENSG00000135407,12,57818704,57797376,-
KRR1,ENSG00000111615,12,75511636,75490863,-
PPP1R12A,ENSG00000058272,12,79935460,79773563,-
ATP2B1,ENSG00000070961,12,89709300,89588049,-
NDUFA12,ENSG00000184752,12,95003748,94897055,-
APPL2,ENSG00000136044,12,105236203,105173297,-
CKAP4,ENSG00000136026,12,106304279,106237881,-
NAA25,ENSG00000111300,12,112108796,112026689,-
DDX54,ENSG00000123064,12,113185479,113157174,-
MED13L,ENSG00000123066,12,116277719,115953872,-
TAOK3,ENSG00000135090,12,118372907,118149801,-
CIT,ENSG00000122966,12,119877320,119685791,-
GCN1,ENSG00000089154,12,120194715,120127202,-
COQ5,ENSG00000110871,12,120534434,120503279,-
ANAPC5,ENSG00000089053,12,121399896,121308245,-
ZCCHC8,ENSG00000033030,12,122501073,122471599,-
RSRC2,ENSG00000111011,12,122527000,122503454,-
ABCB9,ENSG00000150967,12,122981649,122920951,-
CHFR,ENSG00000072609,12,132956304,132822187,-
ITFG2,ENSG00000111203,12,2859791,2812622,+
TAPBPL,ENSG00000139192,12,6466517,6451690,+
ENO2,ENSG00000111674,12,6923698,6913745,+
PTPN6,ENSG00000111679,12,6961316,6946468,+
CLEC2D,ENSG00000069493,12,9699553,9664969,+
ETV6,ENSG00000139083,12,11895402,11649854,+
APOLD1,ENSG00000178878,12,12829975,12725917,+
ETNK1,ENSG00000139163,12,22690665,22625075,+
LRMP,ENSG00000118308,12,25108334,25004342,+
KLHL42,ENSG00000087448,12,27803040,27780048,+
PPHLN1,ENSG00000134283,12,42459715,42238447,+
TMEM117,ENSG00000139173,12,44389762,43835967,+
ARID2,ENSG00000189079,12,45908040,45729706,+
AC008014.1,ENSG00000257261,12,46876784,46383652,+
TROAP,ENSG00000135451,12,49331731,49323236,+
SPATS2,ENSG00000123352,12,49527424,49366584,+
LARP4,ENSG00000161813,12,50480004,50392383,+
ATF1,ENSG00000123268,12,50821162,50763710,+
DAZAP2,ENSG00000183283,12,51271362,51238724,+
EIF4B,ENSG00000063046,12,53042209,53006158,+
COPZ1,ENSG00000111481,12,54351846,54301202,+
NCKAP1L,ENSG00000123338,12,54548243,54497752,+
RAB5B,ENSG00000111540,12,55996683,55973913,+
RPL41,ENSG00000229117,12,56117967,56116590,+
MON2,ENSG00000061987,12,62600476,62466817,+
IFNG-AS1,ENSG00000255733,12,68234686,67989445,+
NUP107,ENSG00000111581,12,68745809,68686951,+
CPSF6,ENSG00000111605,12,69274358,69239569,+
CNOT2,ENSG00000111596,12,70354993,70242994,+
TBC1D15,ENSG00000121749,12,71927248,71839707,+
MRPL42,ENSG00000198015,12,93516214,93467488,+
METAP2,ENSG00000111142,12,95515839,95473520,+
ELK3,ENSG00000111145,12,96269824,96194375,+
CHST11,ENSG00000171310,12,104762014,104455295,+
ISCU,ENSG00000136003,12,108569384,108562582,+
AC007569.1,ENSG00000257221,12,108642349,108628668,+
ERP29,ENSG00000089248,12,112023449,112013348,+
PEBP1,ENSG00000089220,12,118145584,118136124,+
RNF10,ENSG00000022840,12,120577588,120533480,+
RNF34,ENSG00000170633,12,121430623,121400041,+
BCL7A,ENSG00000110987,12,122062044,122019422,+
MLXIP,ENSG00000175727,12,122147344,122078756,+
TMED2,ENSG00000086598,12,123598582,123584533,+
EP400,ENSG00000183495,12,132081102,131949920,+
ZNF140,ENSG00000196387,12,133107544,133079838,+
PSPC1,ENSG00000121390,13,19783019,19674752,-
XPO4,ENSG00000132953,13,20903048,20777329,-
LINC00539,ENSG00000224429,13,21348721,21302862,-
LINC00426,ENSG00000238121,13,30377145,30340267,-
HMGB1,ENSG00000189403,13,30617597,30456704,-
ALG5,ENSG00000120697,13,37000261,36949738,-
MRPS31,ENSG00000102738,13,40771190,40729128,-
ELF1,ENSG00000120690,13,41061440,40931924,-
MTRF1,ENSG00000120662,13,41263577,41216369,-
DIAPH3,ENSG00000139734,13,60163928,59665583,-
DIS3,ENSG00000083520,13,72782096,72752169,-
KLF12,ENSG00000118922,13,73995056,73686089,-
RBM26,ENSG00000139746,13,79406477,79311824,-
TMTC4,ENSG00000125247,13,100675093,100603927,-
ANKRD10,ENSG00000088448,13,110915069,110878540,-
PCID2,ENSG00000126226,13,113208715,113177536,-
RPL21,ENSG00000122026,13,27256691,27251309,+
PAN3,ENSG00000152520,13,28295335,28138506,+
POMP,ENSG00000132963,13,28678959,28659104,+
USPL1,ENSG00000132952,13,30660770,30617693,+
PDS5B,ENSG00000083642,13,32778019,32586452,+
FNDC3A,ENSG00000102531,13,49209779,48975912,+
SETDB2,ENSG00000136169,13,49495003,49444374,+
TDRD3,ENSG00000083544,13,60573878,60396457,+
BORA,ENSG00000136122,13,72756198,72727749,+
SOX21-AS1,ENSG00000227640,13,94803430,94703454,+
DNAJC3,ENSG00000102580,13,95794988,95677139,+
MBNL2,ENSG00000139793,13,97394120,97221434,+
IPO5,ENSG00000065150,13,98024296,97953658,+
TM9SF2,ENSG00000125304,13,99564048,99446311,+
TPP2,ENSG00000134900,13,102679958,102596986,+
NAXD,ENSG00000213995,13,110639993,110615460,+
ARHGEF7,ENSG00000102606,13,111305737,111114559,+
CUL4A,ENSG00000139842,13,113267108,113208193,+
HNRNPC,ENSG00000092199,14,21269494,21209136,-
RAB2B,ENSG00000129472,14,21476960,21459020,-
METTL3,ENSG00000165819,14,21511342,21498133,-
SLC7A7,ENSG00000155465,14,22829820,22773222,-
TINF2,ENSG00000092330,14,24242674,24239643,-
EAPP,ENSG00000129518,14,34539711,34515938,-
SNX6,ENSG00000129515,14,34630160,34561093,-
NIN,ENSG00000100503,14,50831121,50719763,-
DLGAP5,ENSG00000126787,14,55191608,55148112,-
L3HYPDH,ENSG00000126790,14,59484408,59460363,-
MAX,ENSG00000125952,14,65102695,65006174,-
AL355076.2,ENSG00000258760,14,65318790,65236480,-
ZFP36L1,ENSG00000185650,14,68796253,68787660,-
NUMB,ENSG00000133961,14,73458617,73275107,-
FOXN3,ENSG00000053254,14,89619149,89124871,-
ATXN3,ENSG00000066427,14,92106621,92044496,-
AL133523.1,ENSG00000258982,14,100238555,100207407,-
WARS,ENSG00000140105,14,100376805,100333790,-
GPR132,ENSG00000183484,14,105065445,105049395,-
IGHG4,ENSG00000211892,14,105626066,105620506,-
IGHG2,ENSG00000211893,14,105644790,105639559,-
IGHGP,ENSG00000253755,14,105669843,105664633,-
IGHA1,ENSG00000211895,14,105708665,105703995,-
IGHG1,ENSG00000211896,14,105743071,105736343,-
IGHG3,ENSG00000211897,14,105771405,105764503,-
IGHV2-5,ENSG00000211937,14,106038365,106037902,-
IGHV3-30,ENSG00000270550,14,106335613,106335082,-
IGHV3-33,ENSG00000211955,14,106360324,106359793,-
NGDN,ENSG00000129460,14,23509862,23469689,+
PSME1,ENSG00000092010,14,24138967,24136163,+
SCFD1,ENSG00000092108,14,30735850,30622311,+
NUBPL,ENSG00000151413,14,31861224,31489956,+
PNN,ENSG00000100941,14,39183220,39175183,+
SOCS4,ENSG00000180008,14,55049489,55027230,+
MAPK1IP1L,ENSG00000168175,14,55070194,55051647,+
FUT8,ENSG00000033170,14,65744121,65410592,+
EXD2,ENSG00000081177,14,69244020,69191511,+
VASH1,ENSG00000071246,14,76783015,76761468,+
ZC3H14,ENSG00000100722,14,88627596,88562970,+
PSMC1,ENSG00000100764,14,90275429,90256527,+
DGLUCY,ENSG00000133943,14,91225632,91060333,+
PPP2R5C,ENSG00000078304,14,101927989,101761798,+
EIF5,ENSG00000100664,14,103345025,103333544,+
MARK3,ENSG00000075413,14,103503831,103385392,+
CYFIP1,ENSG00000273749,15,22981063,22867052,-
AC012236.1,ENSG00000259772,15,31230838,31221999,-
AQR,ENSG00000021776,15,34969742,34851782,-
TMEM87A,ENSG00000103978,15,42273584,42210447,-
FRMD5,ENSG00000171877,15,44195271,43870761,-
SECISBP2L,ENSG00000138593,15,49046447,48988476,-
GABPB1,ENSG00000104064,15,50355408,50275392,-
MYO5A,ENSG00000197535,15,52529050,52307283,-
ARPP19,ENSG00000128989,15,52569883,52547045,-
ADAM10,ENSG00000137845,15,58749791,58588809,-
ANXA2,ENSG00000182718,15,60402883,60347134,-
HERC1,ENSG00000103657,15,63833948,63608618,-
CSNK1G1,ENSG00000169118,15,64356173,64165525,-
ADPGK,ENSG00000159322,15,72785846,72751369,-
NPTN,ENSG00000156642,15,73634134,73560014,-
SCAMP2,ENSG00000140497,15,74873365,74843730,-
ETFA,ENSG00000140374,15,76311472,76215353,-
SCAPER,ENSG00000140386,15,76905444,76347904,-
EFL1,ENSG00000140598,15,82262734,82130233,-
MFGE8,ENSG00000140545,15,88913381,88898683,-
SELENOS,ENSG00000131871,15,101277500,101270817,-
MKRN3,ENSG00000179455,15,23630075,23565674,+
SNHG14,ENSG00000224078,15,25420336,24978583,+
HERC2P10,ENSG00000259845,15,30844153,30815271,+
EIF2AK4,ENSG00000128829,15,40035591,39934115,+
BUB1B,ENSG00000156970,15,40221136,40161023,+
SPINT1,ENSG00000166145,15,40858207,40844018,+
ADAL,ENSG00000168803,15,43354555,43330657,+
B2M,ENSG00000166710,15,44718877,44711487,+
SORD,ENSG00000140263,15,45077185,45023181,+
TCF12,ENSG00000140262,15,57299281,56918623,+
LINC00926,ENSG00000247982,15,57307769,57300365,+
MINDY2,ENSG00000128923,15,58861900,58771192,+
APH1B,ENSG00000138613,15,63309126,63276018,+
PIAS1,ENSG00000033800,15,68198603,68054179,+
SCAMP5,ENSG00000198794,15,75021495,74957219,+
ZFAND6,ENSG00000086666,15,80138393,80059568,+
AKAP13,ENSG00000170776,15,85749358,85380571,+
AEN,ENSG00000181026,15,88632281,88621337,+
ISG20,ENSG00000172183,15,88656483,88636153,+
ABHD2,ENSG00000140526,15,89202355,89087459,+
CHD2,ENSG00000173575,15,93027996,92900189,+
LRRK1,ENSG00000154237,15,101078257,100919327,+
LUC7L,ENSG00000007392,16,229463,188969,-
GLYR1,ENSG00000140632,16,4847288,4803203,-
CARHSP1,ENSG00000153048,16,8869012,8852942,-
USP7,ENSG00000187555,16,8964514,8892097,-
TXNDC11,ENSG00000153066,16,11742878,11679080,-
CPPED1,ENSG00000103381,16,12803887,12659799,-
XYLT1,ENSG00000103489,16,17470960,17101769,-
NPIPB3,ENSG00000169246,16,21448567,21402237,-
NPIPB4,ENSG00000185864,16,21880827,21834569,-
COG7,ENSG00000168434,16,23453189,23388493,-
RABEP2,ENSG00000177548,16,28936526,28904421,-
HIRIP3,ENSG00000149929,16,29996074,29992330,-
ITFG1,ENSG00000129636,16,47464149,47154387,-
SNX20,ENSG00000167208,16,50681353,50666300,-
FAM192A,ENSG00000172775,16,57186116,57152466,-
GOT2,ENSG00000125166,16,58734342,58707131,-
COG4,ENSG00000103051,16,70523558,70480568,-
GLG1,ENSG00000090863,16,74607144,74447427,-
FAM92B,ENSG00000153789,16,85112472,85098358,-
GINS2,ENSG00000131153,16,85690073,85676198,-
MVD,ENSG00000167508,16,88663161,88651935,-
TRAF7,ENSG00000131653,16,2178129,2155698,+
METTL22,ENSG00000067365,16,8649654,8621683,+
PMM2,ENSG00000140650,16,8849325,8788823,+
AC022167.2,ENSG00000260276,16,8860456,8848105,+
CLEC16A,ENSG00000038532,16,11182186,10944564,+
RMI2,ENSG00000175643,16,11381662,11249619,+
SNN,ENSG00000184602,16,11679152,11668455,+
SNX29,ENSG00000048471,16,12574287,11976734,+
NOMO1,ENSG00000103512,16,14896157,14833721,+
PDXDC1,ENSG00000179889,16,15139339,14974591,+
VPS35L,ENSG00000103544,16,19706793,19555240,+
UQCRC2,ENSG00000140740,16,21983660,21953288,+
EEF2K,ENSG00000103319,16,22288738,22206278,+
IL21R,ENSG00000103522,16,27452042,27402174,+
CD19,ENSG00000177455,16,28939347,28931939,+
AC009133.3,ENSG00000260719,16,29748299,29745247,+
