Gene,Accession,Chromosome,End,Start,Strand
AURKAIP1,ENSG00000175756,1,1375495,1373730,-
CCNL2,ENSG00000221978,1,1399335,1385711,-
MRPL20,ENSG00000242485,1,1407293,1401909,-
RN7SL657P,ENSG00000264293,1,1405752,1405460,-
ANKRD65,ENSG00000235098,1,1421769,1418420,-
LINC01770,ENSG00000225285,1,1434573,1430539,-
TMEM240,ENSG00000205090,1,1540624,1534778,-
SSU72,ENSG00000160075,1,1574863,1541673,-
AL691432.3,ENSG00000274481,1,1583909,1583510,-
FNDC10,ENSG00000228594,1,1600135,1598012,-
AL691432.2,ENSG00000272106,1,1615795,1613758,-
CDK11B,ENSG00000248333,1,1659012,1635227,-
SLC35E2B,ENSG00000189339,1,1692795,1659529,-
CDK11A,ENSG00000008128,1,1724357,1702379,-
AL031282.2,ENSG00000268575,1,1737688,1702736,-
SLC35E2A,ENSG00000215790,1,1745999,1724838,-
NADK,ENSG00000008130,1,1780457,1751232,-
GNB1,ENSG00000078369,1,1891117,1785285,-
TMEM52,ENSG00000178821,1,1919279,1917590,-
CFAP74,ENSG00000142609,1,2003837,1921951,-
AL391845.2,ENSG00000233542,1,2015639,2013213,-
AL391845.1,ENSG00000226969,1,2050070,2049203,-
AL590822.2,ENSG00000271806,1,2145279,2141084,-
PRKCZ-AS1,ENSG00000182873,1,2184389,2181794,-
FAAP20,ENSG00000162585,1,2212720,2184461,-
MORN1,ENSG00000116151,1,2391707,2321253,-
AL589739.1,ENSG00000272161,1,2326693,2326201,-
AL513477.1,ENSG00000269896,1,2352820,2350414,-
AL513477.2,ENSG00000272420,1,2363628,2363061,-
PEX10,ENSG00000157911,1,2413797,2403964,-
AL139246.1,ENSG00000224387,1,2493258,2492300,-
AL139246.4,ENSG00000229393,1,2494479,2493437,-
PANK4,ENSG00000157881,1,2526611,2508537,-
HES5,ENSG00000197921,1,2530263,2528745,-
TNFRSF14-AS1,ENSG00000238164,1,2557031,2549920,-
MMEL1,ENSG00000142606,1,2633016,2590639,-
TTC34,ENSG00000215912,1,2801717,2635976,-
AL592464.2,ENSG00000233234,1,2812692,2811850,-
AL592464.1,ENSG00000231630,1,2814998,2814432,-
AL589702.1,ENSG00000284745,1,2968707,2960658,-
PRDM16-DT,ENSG00000177133,1,3068437,3059615,-
AL008733.1,ENSG00000226286,1,3133709,3132927,-
AL590438.1,ENSG00000272235,1,3310096,3306636,-
AL354743.2,ENSG00000287828,1,3323149,3313052,-
AL354743.1,ENSG00000286518,1,3373928,3367815,-
MEGF6,ENSG00000162591,1,3611508,3487951,-
MIR551A,ENSG00000207776,1,3560790,3560695,-
AL513320.1,ENSG00000238260,1,3624743,3623190,-
WRAP73,ENSG00000116213,1,3652761,3630767,-
AL136528.1,ENSG00000227589,1,3668772,3658938,-
AL136528.2,ENSG00000235131,1,3714298,3712200,-
TP73-AS1,ENSG00000227372,1,3747373,3735511,-
LRRC47,ENSG00000130764,1,3796498,3778559,-
CEP104,ENSG00000116198,1,3857214,3812086,-
C1orf174,ENSG00000198912,1,3900293,3889125,-
LINC01345,ENSG00000226374,1,3949024,3944547,-
AL805961.1,ENSG00000284703,1,4019508,4012921,-
EEF1DP6,ENSG00000229280,1,4175899,4175528,-
AL355602.1,ENSG00000284694,1,4484375,4479131,-
Z98747.1,ENSG00000227169,1,4552145,4551735,-
Z98886.1,ENSG00000287586,1,4734992,4730211,-
BX005132.1,ENSG00000284739,1,4973298,4963954,-
LINC02782,ENSG00000231510,1,5090899,5086459,-
AL139823.1,ENSG00000284616,1,5307394,5301928,-
Z98259.3,ENSG00000284692,1,5493057,5478736,-
Z98259.2,ENSG00000284666,1,5482028,5480787,-
AL365255.1,ENSG00000236948,1,5668295,5561709,-
MIR4689,ENSG00000264101,1,5862741,5862672,-
NPHP4,ENSG00000131697,1,5992473,5862811,-
CHD5,ENSG00000116254,1,6180321,6101787,-
AL031847.2,ENSG00000285629,1,6197757,6159430,-
RPL22,ENSG00000116251,1,6209389,6185020,-
AL031847.1,ENSG00000226944,1,6205780,6204840,-
ICMT,ENSG00000116237,1,6235972,6221193,-
GPR153,ENSG00000158292,1,6261098,6247353,-
ACOT7,ENSG00000097021,1,6394391,6264269,-
HES2,ENSG00000069812,1,6424670,6412418,-
MIR4252,ENSG00000265392,1,6429896,6429834,-
AL031848.1,ENSG00000231868,1,6447006,6443034,-
TNFRSF25,ENSG00000215788,1,6466195,6460786,-
PLEKHG5,ENSG00000171680,1,6520061,6466092,-
NOL9,ENSG00000162408,1,6554513,6521347,-
KLHL21,ENSG00000162413,1,6614607,6590724,-
DNAJC11,ENSG00000007923,1,6701924,6634168,-
CAMTA1-DT,ENSG00000237436,1,6784843,6783892,-
AL590128.1,ENSG00000227950,1,6834618,6834333,-
AL512330.1,ENSG00000237365,1,7014279,7008376,-
Z97987.1,ENSG00000237728,1,7389754,7382487,-
AL365194.1,ENSG00000225126,1,7441554,7441096,-
AL359881.3,ENSG00000270171,1,7694844,7693124,-
AL359881.2,ENSG00000270035,1,7698872,7698303,-
AL359881.1,ENSG00000269978,1,7700970,7700704,-
Z98884.1,ENSG00000236266,1,7827342,7810242,-
UTS2,ENSG00000049247,1,7853512,7843083,-
TNFRSF9,ENSG00000049249,1,7943165,7915894,-
Y_RNA,ENSG00000200344,1,7982983,7982881,-
AL034417.3,ENSG00000284716,1,7999934,7998187,-
ERRFI1,ENSG00000116285,1,8026309,8004404,-
AL034417.1,ENSG00000232848,1,8058463,8057245,-
RNU1-7P,ENSG00000200975,1,8206597,8206434,-
AL358876.2,ENSG00000233645,1,8220529,8218190,-
RNU6-991P,ENSG00000251977,1,8292263,8292157,-
RERE,ENSG00000142599,1,8848921,8352397,-
AL096855.1,ENSG00000221083,1,8511919,8511795,-
RPL7P7,ENSG00000224315,1,8786913,8786211,-
Y_RNA,ENSG00000222511,1,8796673,8796571,-
AL357552.2,ENSG00000228423,1,8807051,8805860,-
ENO1,ENSG00000074800,1,8879190,8861000,-
MIR6728,ENSG00000274258,1,8866590,8866502,-
RNU6-304P,ENSG00000201725,1,8883533,8883427,-
AL139415.1,ENSG00000232208,1,8907744,8907393,-
RN7SL451P,ENSG00000265141,1,8979874,8979576,-
SLC2A7,ENSG00000197241,1,9026345,9003300,-
SLC2A5,ENSG00000142583,1,9088478,9035106,-
GPR157,ENSG00000180758,1,9129102,9100305,-
MIR34AHG,ENSG00000228526,1,9198906,9148011,-
MIR34A,ENSG00000284357,1,9151777,9151668,-
BX323043.1,ENSG00000284652,1,9422862,9421098,-
LINC02606,ENSG00000284693,1,9440564,9425094,-
RNA5SP40,ENSG00000252956,1,9437778,9437669,-
AL928921.1,ENSG00000235263,1,9503471,9501092,-
PIK3CD-AS1,ENSG00000179840,1,9654586,9652610,-
AL691449.1,ENSG00000233268,1,9662626,9660828,-
PIK3CD-AS2,ENSG00000231789,1,9687555,9672426,-
CLSTN1,ENSG00000171603,1,9824526,9729026,-
AL357140.3,ENSG00000280113,1,9828271,9826289,-
CTNNBIP1,ENSG00000178585,1,9910336,9848276,-
LZIC,ENSG00000162441,1,9943407,9922113,-
TMEM274P,ENSG00000283611,1,9960787,9950572,-
AL590639.1,ENSG00000224340,1,10054781,10054445,-
AL139424.3,ENSG00000284735,1,10387150,10381906,-
AL139424.1,ENSG00000271989,1,10430677,10429881,-
DFFA,ENSG00000160049,1,10472529,10456522,-
AL139423.2,ENSG00000287727,1,10616452,10612222,-
CASZ1,ENSG00000130940,1,10796650,10636604,-
C1orf127,ENSG00000175262,1,10982037,10946471,-
CFL1P6,ENSG00000215785,1,10991797,10990978,-
MASP2,ENSG00000009724,1,11047239,11026523,-
SRM,ENSG00000116649,1,11060020,11054584,-
EXOSC10,ENSG00000171824,1,11099869,11066618,-
MTOR,ENSG00000198793,1,11262551,11106535,-
UBE2V2P3,ENSG00000238199,1,11279351,11278616,-
AL031291.1,ENSG00000284646,1,11319093,11311734,-
MTCYBP45,ENSG00000224338,1,11425821,11425257,-
AL590989.1,ENSG00000285833,1,11502016,11500803,-
FBXO2,ENSG00000116661,1,11655785,11637018,-
MAD2L2,ENSG00000116670,1,11691650,11674480,-
AL953897.1,ENSG00000177553,1,11779619,11777077,-
MTHFR,ENSG00000177000,1,11806920,11785723,-
NPPA,ENSG00000175206,1,11848345,11845709,-
NPPB,ENSG00000120937,1,11858945,11857464,-
RNU5E-4P,ENSG00000201801,1,11909927,11909808,-
KIAA2013,ENSG00000116685,1,11926428,11919591,-
AL096840.2,ENSG00000287384,1,11980127,11979533,-
AL096840.1,ENSG00000270914,1,12017308,12017216,-
Y_RNA,ENSG00000202461,1,12024124,12024012,-
RN7SL649P,ENSG00000243539,1,12037014,12036740,-
RNU6-777P,ENSG00000201135,1,12077984,12077881,-
RPL23AP89,ENSG00000227875,1,12080547,12080293,-
AL357835.1,ENSG00000285604,1,12092264,12088441,-
RPL10P17,ENSG00000225196,1,12221109,12220794,-
SNORA70,ENSG00000252969,1,12221271,12221148,-
DHRS3,ENSG00000162496,1,12618210,12567910,-
RNU6ATAC18P,ENSG00000221340,1,12570072,12569972,-
MIR6730,ENSG00000276830,1,12579023,12578957,-
AC254633.1,ENSG00000272482,1,12619244,12618900,-
LINC01784,ENSG00000228338,1,12823159,12822686,-
PRAMEF11,ENSG00000239810,1,12831410,12824605,-
PRAMEF30P,ENSG00000231103,1,12841357,12838125,-
HNRNPCL1,ENSG00000179172,1,12848725,12847408,-
PRAMEF4,ENSG00000243073,1,12886201,12879212,-
PRAMEF10,ENSG00000187545,1,12898270,12892896,-
PRAMEF6,ENSG00000232423,1,12947580,12938472,-
PRAMEF27,ENSG00000274764,1,13056491,13049476,-
PRAMEF34P,ENSG00000277862,1,13097971,13095179,-
PRAMEF35P,ENSG00000236179,1,13105689,13104403,-
HNRNPCL2,ENSG00000275774,1,13116854,13115488,-
AC245056.1,ENSG00000233336,1,13147460,13146981,-
PRAMEF26,ENSG00000280267,1,13155961,13148905,-
HNRNPCL4,ENSG00000179412,1,13165467,13164586,-
PRAMEF13,ENSG00000279169,1,13201409,13196188,-
PRAMEF18,ENSG00000279804,1,13226106,13222705,-
PRAMEF32P,ENSG00000231219,1,13275627,13273539,-
RNU6-771P,ENSG00000207511,1,13279231,13279125,-
PRAMEF8,ENSG00000182330,1,13285174,13281035,-
PRAMEF14,ENSG00000204481,1,13347134,13341892,-
PRAMEF19,ENSG00000204480,1,13371900,13369067,-
LRRC38,ENSG00000162494,1,13514003,13474973,-
RNA5SP41,ENSG00000222952,1,13623284,13623184,-
AL359771.1,ENSG00000237445,1,13659910,13657311,-
AL359771.2,ENSG00000253085,1,13696199,13696070,-
RNU6-1265P,ENSG00000252151,1,14124335,14124233,-
AL357873.1,ENSG00000231606,1,14304445,14221887,-
KAZN-AS1,ENSG00000234593,1,14419973,14338825,-
TBCAP2,ENSG00000235829,1,14692613,14692129,-
AL031293.1,ENSG00000287756,1,14777727,14774469,-
TMEM51-AS1,ENSG00000175147,1,15153618,15111815,-
C1orf195,ENSG00000204464,1,15171317,15164344,-
AL035405.1,ENSG00000215720,1,15192845,15191828,-
AL031283.2,ENSG00000233485,1,15343876,15326680,-
AL031283.3,ENSG00000236045,1,15335464,15334166,-
AL031283.1,ENSG00000228140,1,15409433,15402979,-
CASP9,ENSG00000132906,1,15526534,15490832,-
AL121992.3,ENSG00000272510,1,15565956,15565611,-
AGMAT,ENSG00000116771,1,15585051,15571699,-
AL121992.1,ENSG00000237301,1,15603626,15586136,-
RNU7-179P,ENSG00000252417,1,15608145,15608078,-
CD24P1,ENSG00000236500,1,15614867,15614643,-
AL121992.2,ENSG00000271742,1,15683128,15682873,-
AL450998.3,ENSG00000237938,1,15736896,15720312,-
SLC25A34-AS1,ENSG00000224459,1,15749896,15740051,-
UQCRHL,ENSG00000233954,1,15809348,15807169,-
AL450998.2,ENSG00000179743,1,15848147,15834474,-
AL034555.1,ENSG00000270620,1,15917908,15917698,-
ZBTB17,ENSG00000116809,1,15976132,15941869,-
AL355994.5,ENSG00000275503,1,15989375,15989140,-
AL355994.3,ENSG00000233078,1,16006671,16006160,-
HSPB7,ENSG00000173641,1,16019594,16014028,-
AL355994.2,ENSG00000232456,1,16040029,16035178,-
FAM131C,ENSG00000185519,1,16073651,16057769,-
EPHA2,ENSG00000142627,1,16156069,16124337,-
ARHGEF19,ENSG00000142632,1,16212652,16197854,-
ANO7L1,ENSG00000237276,1,16228027,16215909,-
AL109627.1,ENSG00000288398,1,16231335,16228674,-
CPLANE2,ENSG00000132881,1,16237183,16231692,-
MT1XP1,ENSG00000233929,1,16241398,16241213,-
FBXO42,ENSG00000037637,1,16352480,16246840,-
RPL22P3,ENSG00000226457,1,16369530,16369150,-
SPATA21,ENSG00000187144,1,16437424,16387117,-
CROCCP3,ENSG00000080947,1,16499257,16467436,-
RNU1-1,ENSG00000206652,1,16514285,16514122,-
LINC01783,ENSG00000233421,1,16536172,16533886,-
RNU1-6P,ENSG00000277344,1,16534224,16534081,-
AL355149.1,ENSG00000225710,1,16552531,16548651,-
NBPF1,ENSG00000219481,1,16613562,16562319,-
CROCCP2,ENSG00000215908,1,16657232,16618253,-
AL137798.3,ENSG00000283773,1,16643109,16642767,-
RNU1-3,ENSG00000207513,1,16666948,16666785,-
AL021920.2,ENSG00000280114,1,16688749,16681097,-
EIF1AXP1,ENSG00000236698,1,16686055,16685621,-
ESPNP,ENSG00000268869,1,16720157,16687339,-
AL021920.3,ENSG00000282740,1,16750589,16739938,-
MST1L,ENSG00000186715,1,16770237,16754910,-
BX284668.1,ENSG00000223643,1,16853129,16851257,-
MIR3675,ENSG00000263811,1,16859021,16858949,-
BX284668.5,ENSG00000238142,1,16889706,16887577,-
BX284668.6,ENSG00000272426,1,16904776,16904339,-
MFAP2,ENSG00000117122,1,16980632,16974502,-
ATP13A2,ENSG00000159363,1,17011928,16985958,-
SDHB,ENSG00000117118,1,17054170,17018722,-
PADI2,ENSG00000117115,1,17119451,17066761,-
AL590644.1,ENSG00000282843,1,17201733,17193232,-
RCC2,ENSG00000179051,1,17439677,17406760,-
IGSF21-AS1,ENSG00000230035,1,18179346,18166929,-
TAS1R2,ENSG00000179002,1,18859682,18839599,-
ALDH4A1,ENSG00000159423,1,18902724,18871430,-
MIR4695,ENSG00000265606,1,18883275,18883202,-
MIR1290,ENSG00000221662,1,18897148,18897071,-
IFFO2,ENSG00000169991,1,18956676,18904280,-
AL137127.1,ENSG00000272084,1,19075511,19072110,-
UBR4,ENSG00000127481,1,19210266,19074510,-
EMC1,ENSG00000127463,1,19251527,19215660,-
AL035413.2,ENSG00000286064,1,19262307,19260521,-
AKR7L,ENSG00000211454,1,19274194,19265982,-
AKR7A3,ENSG00000162482,1,19288770,19282573,-
AKR7A2,ENSG00000053371,1,19312146,19303965,-
RNU6-1099P,ENSG00000200403,1,19305182,19305076,-
CAPZB,ENSG00000077549,1,19485539,19338775,-
AL031727.2,ENSG00000235185,1,19596832,19591802,-
TMCO4,ENSG00000162542,1,19799945,19682213,-
RNF186,ENSG00000178828,1,19815283,19814029,-
PLA2G2E,ENSG00000188784,1,19923617,19920009,-
PLA2G2A,ENSG00000188257,1,19980416,19975431,-
PLA2G2D,ENSG00000117215,1,20119566,20111939,-
PLA2G2C,ENSG00000187980,1,20177424,20161253,-
UBXN10-AS1,ENSG00000225986,1,20186486,20184242,-
AL020998.1,ENSG00000226664,1,20323187,20294211,-
LINC01141,ENSG00000236963,1,20431234,20360579,-
AL139254.1,ENSG00000226487,1,20413253,20412304,-
AL139254.3,ENSG00000284743,1,20480397,20478779,-
CAMK2N1,ENSG00000162545,1,20486210,20482391,-
MUL1,ENSG00000090432,1,20508151,20499448,-
PINK1-AS,ENSG00000117242,1,20652193,20642657,-
DDOST,ENSG00000244038,1,20661544,20651767,-
KIF17,ENSG00000117245,1,20718017,20664014,-
AL663074.2,ENSG00000235432,1,20694013,20692734,-
SH2D5,ENSG00000189410,1,20732837,20719731,-
HP1BP3,ENSG00000127483,1,20787323,20742679,-
EIF4G3,ENSG00000075151,1,21176888,20806292,-
MIR1256,ENSG00000221808,1,20988432,20988314,-
RPS15AP6,ENSG00000233072,1,21003934,21003550,-
AL627311.1,ENSG00000236073,1,21073753,21073639,-
ECE1,ENSG00000117298,1,21345572,21217247,-
AL592309.1,ENSG00000228823,1,21413293,21411460,-
NBPF2P,ENSG00000227001,1,21427967,21424625,-
PFN1P10,ENSG00000176378,1,21460082,21459756,-
RAP1GAP,ENSG00000076864,1,21669363,21596215,-
USP48,ENSG00000090686,1,21783606,21678298,-
HSPG2,ENSG00000142798,1,21937310,21822244,-
AL590556.2,ENSG00000283234,1,21956871,21950679,-
LINC01635,ENSG00000228397,1,22026048,22023990,-
CDC42-AS1,ENSG00000285752,1,22052927,22028317,-
AL031281.1,ENSG00000271428,1,22068827,22068340,-
WNT4,ENSG00000162552,1,22143969,22117313,-
PPIAP34,ENSG00000234397,1,22323331,22322840,-
AL591122.1,ENSG00000279625,1,22366482,22364630,-
MIR6127,ENSG00000276835,1,22633366,22633258,-
AL512444.1,ENSG00000225952,1,22836849,22835713,-
MIR4253,ENSG00000264014,1,22863226,22863159,-
LACTBL1,ENSG00000215906,1,22965338,22953043,-
TEX46,ENSG00000227868,1,23015852,23010834,-
AL031428.1,ENSG00000240553,1,23088058,23020147,-
AL031428.2,ENSG00000266802,1,23057934,23057858,-
LUZP1,ENSG00000169641,1,23177808,23084023,-
HTR1D,ENSG00000179546,1,23194729,23191895,-
LINC01355,ENSG00000261326,1,23287488,23281307,-
HNRNPR,ENSG00000125944,1,23344336,23303771,-
ZNF436,ENSG00000125945,1,23369836,23359448,-
AL109936.2,ENSG00000271420,1,23379029,23378380,-
TCEA3,ENSG00000204219,1,23424748,23380909,-
ASAP3,ENSG00000088280,1,23484568,23428563,-
E2F2,ENSG00000007968,1,23531233,23506438,-
AL021154.1,ENSG00000235052,1,23550915,23549139,-
ID3,ENSG00000117318,1,23559501,23557926,-
AL450043.1,ENSG00000285802,1,23593621,23576436,-
ELOA-AS1,ENSG00000236810,1,23778296,23706901,-
GALE,ENSG00000117308,1,23800781,23795599,-
HMGCL,ENSG00000117305,1,23838620,23801885,-
FUCA1,ENSG00000179163,1,23868294,23845077,-
CNR2,ENSG00000188822,1,23913362,23870515,-
BTBD6P1,ENSG00000229106,1,23902737,23901471,-
AL590609.2,ENSG00000230228,1,23949383,23949016,-
SRSF10,ENSG00000188529,1,23980927,23964347,-
AL590609.1,ENSG00000215905,1,24008519,24007881,-
MYOM3,ENSG00000142661,1,24112135,24056035,-
IL22RA1,ENSG00000142677,1,24143140,24119771,-
IFNLR1,ENSG00000185436,1,24187959,24154168,-
AL138902.1,ENSG00000232298,1,24321901,24307556,-
STPG1,ENSG00000001460,1,24416934,24356999,-
RCAN3AS,ENSG00000286061,1,24535400,24496254,-
NCMAP-DT,ENSG00000264443,1,24556024,24538802,-
Y_RNA,ENSG00000239106,1,24625513,24625411,-
RNU6-1208P,ENSG00000238482,1,24777979,24777873,-
RUNX3,ENSG00000020633,1,24965121,24899511,-
MIR6731,ENSG00000278034,1,24919416,24919345,-
AL445471.2,ENSG00000261025,1,24970865,24968423,-
AL050344.1,ENSG00000233755,1,25113120,25043707,-
AL121994.1,ENSG00000233419,1,25125454,25125053,-
SYF2,ENSG00000117614,1,25232502,25222276,-
RSRP1,ENSG00000117616,1,25338213,25242249,-
AL031432.2,ENSG00000261349,1,25267136,25266102,-
SDHDP6,ENSG00000224183,1,25294643,25294164,-
AL928711.1,ENSG00000259984,1,25337465,25336429,-
RHCE,ENSG00000188672,1,25430192,25362249,-
AL031280.1,ENSG00000233478,1,25659111,25644544,-
AL020996.1,ENSG00000228172,1,25820797,25816749,-
AUNIP,ENSG00000127423,1,25859458,25831913,-
AL020996.3,ENSG00000272478,1,25832134,25831913,-
PAQR7,ENSG00000182749,1,25871253,25861210,-
STMN1,ENSG00000117632,1,25906991,25884181,-
MIR3917,ENSG00000283938,1,25906454,25906362,-
PAFAH2,ENSG00000158006,1,25998117,25959767,-
SLC30A2,ENSG00000158014,1,26046118,26037252,-
TRIM63,ENSG00000158022,1,26068436,26051304,-
C1orf232,ENSG00000282872,1,26168581,26164161,-
AL391650.1,ENSG00000236782,1,26171831,26169516,-
AL355877.3,ENSG00000278572,1,26220476,26218581,-
AL355877.2,ENSG00000270733,1,26263398,26263041,-
UBXN11,ENSG00000158062,1,26318363,26281328,-
CRYBG2,ENSG00000176092,1,26360080,26321698,-
ZNF683,ENSG00000176083,1,26374522,26361634,-
AL513365.1,ENSG00000223583,1,26455187,26454653,-
AL513365.2,ENSG00000225891,1,26468014,26462756,-
DPPA2P2,ENSG00000224129,1,26520250,26519354,-
RN7SL679P,ENSG00000243905,1,26593546,26593243,-
Y_RNA,ENSG00000252802,1,26594041,26593940,-
RNU7-29P,ENSG00000252429,1,26602432,26602369,-
AL627313.1,ENSG00000229247,1,26640614,26640377,-
AL627082.2,ENSG00000238316,1,26642389,26642286,-
AL512408.1,ENSG00000260063,1,26694131,26692132,-
GPN2,ENSG00000142751,1,26890283,26876132,-
GPATCH3,ENSG00000198746,1,26900467,26890488,-
NR0B2,ENSG00000131910,1,26913975,26911489,-
KDF1,ENSG00000175707,1,26960468,26949562,-
OSTCP2,ENSG00000225294,1,26986340,26985897,-
TENT5B,ENSG00000158246,1,27012850,27005020,-
SLC9A1,ENSG00000090020,1,27166981,27098809,-
CHCHD3P3,ENSG00000214973,1,27201473,27200834,-
AL590640.1,ENSG00000224311,1,27234352,27229106,-
Y_RNA,ENSG00000252098,1,27255567,27255464,-
MAP3K6,ENSG00000142733,1,27366961,27354067,-
FCN3,ENSG00000142748,1,27374824,27369112,-
CD164L2,ENSG00000174950,1,27383333,27379176,-
WASF2,ENSG00000158195,1,27490167,27404230,-
AHDC1,ENSG00000126705,1,27604431,27534035,-
FGR,ENSG00000000938,1,27635185,27612064,-
LINC02574,ENSG00000233975,1,27662722,27660328,-
IFI6,ENSG00000126709,1,27672198,27666064,-
RNU6-949P,ENSG00000206767,1,27675709,27675603,-
CHMP1AP1,ENSG00000226662,1,27687471,27686810,-
AL020997.5,ENSG00000287244,1,27725756,27724822,-
AL020997.4,ENSG00000286433,1,27831209,27827812,-
RPA2,ENSG00000117748,1,27914746,27891524,-
AL512288.1,ENSG00000227050,1,27960193,27938875,-
EYA3,ENSG00000158161,1,28088637,27970344,-
AL512288.2,ENSG00000238231,1,27990524,27990158,-
RN7SL559P,ENSG00000240750,1,28032180,28031884,-
SPCS2P4,ENSG00000228589,1,28096422,28095742,-
AL137792.1,ENSG00000214812,1,28121321,28120449,-
RNU6-176P,ENSG00000253005,1,28142841,28142737,-
PTAFR,ENSG00000169403,1,28193936,28147166,-
DNAJC8,ENSG00000126698,1,28233029,28199456,-
AL353622.1,ENSG00000270605,1,28241453,28239509,-
Y_RNA,ENSG00000206779,1,28422655,28422555,-
PRDX3P2,ENSG00000231468,1,28527227,28526318,-
SNHG12,ENSG00000197989,1,28583132,28578538,-
SNORD99,ENSG00000221539,1,28578822,28578749,-
SNORA61,ENSG00000278274,1,28579893,28579764,-
SNORA44,ENSG00000273544,1,28580512,28580381,-
SNORA16A,ENSG00000280498,1,28581054,28580920,-
SNORA16A,ENSG00000274582,1,28581056,28580920,-
TAF12,ENSG00000120656,1,28643085,28589323,-
AL009181.1,ENSG00000233427,1,28877336,28870483,-
Y_RNA,ENSG00000199756,1,28881835,28881726,-
AL138785.1,ENSG00000225616,1,28982608,28982278,-
TMEM200B,ENSG00000253304,1,29123903,29119429,-
AL357500.1,ENSG00000225750,1,29146994,29144494,-
SRSF4,ENSG00000116350,1,29181900,29147743,-
AL357500.2,ENSG00000277916,1,29171453,29171285,-
MECR,ENSG00000116353,1,29230942,29192657,-
LINC01756,ENSG00000230523,1,29350114,29329620,-
AL671862.1,ENSG00000225011,1,29496893,29488193,-
AC092265.1,ENSG00000228176,1,29709547,29708851,-
AL645944.1,ENSG00000270927,1,29905357,29904865,-
LINC01648,ENSG00000233399,1,30037612,30013952,-
AL161638.2,ENSG00000236335,1,30411638,30409560,-
MATN1,ENSG00000162510,1,30723585,30711277,-
LAPTM5,ENSG00000162511,1,30757774,30732469,-
MIR4420,ENSG00000264773,1,30739232,30739156,-
AL137027.1,ENSG00000229607,1,30815553,30810378,-
SDC3,ENSG00000162512,1,30908758,30869466,-
RN7SL371P,ENSG00000266210,1,30918735,30918469,-
PUM1,ENSG00000134644,1,31065991,30931506,-
SELENOWP1,ENSG00000215900,1,31095558,31094987,-
AC114495.1,ENSG00000225142,1,31108623,31108188,-
NKAIN1,ENSG00000084628,1,31239887,31179745,-
SNRNP40,ENSG00000060688,1,31296788,31259568,-
AC114495.2,ENSG00000229447,1,31263681,31263245,-
AL451070.1,ENSG00000229044,1,31346799,31333067,-
FABP3,ENSG00000121769,1,31376850,31365253,-
AC209007.1,ENSG00000215899,1,31488930,31487589,-
RNU6-40P,ENSG00000206981,1,31497683,31497577,-
