Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr
PRKAB2,ENSG00000131791,1,147172550,147155106,-,-0.0868
CTSK,ENSG00000143387,1,150808260,150796208,-,-0.0737
ARNT,ENSG00000143437,1,150876708,150809713,-,-0.1028
TDRKH,ENSG00000182134,1,151791416,151770107,-,-0.0577
S100A2,ENSG00000196754,1,153567890,153561108,-,-0.0543
IL6R-AS1,ENSG00000228013,1,154406564,154402328,-,-0.0329
PBXIP1,ENSG00000163346,1,154956123,154944076,-,-0.1634
THBS3,ENSG00000169231,1,155209051,155195588,-,-0.0373
GBAP1,ENSG00000160766,1,155227422,155213821,-,-0.033
SMG5,ENSG00000198952,1,156282825,156249224,-,-0.0853
GLMP,ENSG00000198715,1,156295689,156290089,-,-0.0404
SH2D2A,ENSG00000027869,1,156816862,156806243,-,-0.0575
FCRL3,ENSG00000160856,1,157700769,157674321,-,-0.1446
FCRL1,ENSG00000163534,1,157820120,157794403,-,-0.2495
IGSF8,ENSG00000162729,1,160098943,160091340,-,-0.0841
AL121985.3,ENSG00000275801,1,160776608,160775954,-,-0.0779
LINC01675,ENSG00000234142,1,166490307,166474879,-,-0.0438
CD247,ENSG00000198821,1,167518610,167430640,-,-0.0873
AL031733.2,ENSG00000241666,1,167630674,167627385,-,-0.1184
AL645568.1,ENSG00000203739,1,173489407,173417793,-,-0.0024
ASTN1,ENSG00000152092,1,177164973,176857302,-,-0.0099
AL390718.1,ENSG00000261817,1,180123890,180117140,-,-0.0033
RNASEL,ENSG00000135828,1,182589256,182573634,-,-0.0928
NIBAN1,ENSG00000135842,1,184974508,184790724,-,-0.0222
AL390957.1,ENSG00000285280,1,192957713,192167786,-,0.0164
AL450352.1,ENSG00000287989,1,198519877,198450666,-,-0.0617
DDX59,ENSG00000118197,1,200669907,200623896,-,-0.0486
KIF21B,ENSG00000116852,1,201023700,200969390,-,-0.0762
KLHL12,ENSG00000117153,1,202928636,202891116,-,-0.0646
PLEKHA6,ENSG00000143850,1,204377665,204218853,-,-0.0421
NUAK2,ENSG00000163545,1,205321760,205302063,-,-0.164
SLC41A1,ENSG00000133065,1,205813748,205789094,-,-0.0944
C1orf147,ENSG00000162888,1,206497728,206491116,-,-0.0451
C1orf74,ENSG00000162757,1,209784559,209779208,-,-0.0179
IRF6,ENSG00000117595,1,209806175,209785617,-,-0.048
BPNT1,ENSG00000162813,1,220090462,220057482,-,-0.084
HHIPL2,ENSG00000143512,1,222548104,222522258,-,-0.0024
WDR26,ENSG00000162923,1,224437033,224385143,-,-0.0831
TMEM63A,ENSG00000196187,1,225882380,225845536,-,-0.0442
ITPKB,ENSG00000143772,1,226739323,226631690,-,-0.0559
PCNX2,ENSG00000135749,1,233295725,232983435,-,-0.0924
ZNF669,ENSG00000188295,1,247104372,247099962,-,-0.0601
ISG15,ENSG00000187608,1,1014540,1001138,+,-0.0745
AL645728.1,ENSG00000215014,1,1577075,1574102,+,-0.0512
AL109917.1,ENSG00000231050,1,1892658,1891471,+,0.0542
PRXL2B,ENSG00000157870,1,2591469,2586491,+,-0.0317
LINC00337,ENSG00000225077,1,6239444,6234692,+,0.056
ZBTB48,ENSG00000204859,1,6589280,6579994,+,-0.0446
H6PD,ENSG00000049239,1,9271337,9234775,+,-0.0716
PIK3CD,ENSG00000171608,1,9729114,9651731,+,-0.2422
DRAXIN,ENSG00000162490,1,11725857,11691710,+,-0.0036
CLCN6,ENSG00000011021,1,11848079,11806096,+,-0.0998
AL021155.5,ENSG00000285646,1,11914298,11907940,+,0.0167
MFN2,ENSG00000116688,1,12013514,11980181,+,-0.0912
TNFRSF1B,ENSG00000028137,1,12209228,12166991,+,-0.0856
VPS13D,ENSG00000048707,1,12512047,12230030,+,-0.0763
ARHGEF10L,ENSG00000074964,1,17697874,17539698,+,-0.0439
SLC66A1,ENSG00000040487,1,19329300,19312326,+,-0.0525
OTUD3,ENSG00000169914,1,19912945,19882395,+,-0.0707
NBPF3,ENSG00000142794,1,21485005,21440128,+,-0.0231
ZBTB40,ENSG00000184677,1,22531157,22428838,+,-0.0756
AL109936.6,ENSG00000284726,1,23302866,23297797,+,-0.0482
RPS6KA1,ENSG00000117676,1,26575030,26529761,+,-0.1572
ARID1A,ENSG00000117713,1,26782104,26693236,+,-0.1184
PIGV,ENSG00000060642,1,26798398,26787472,+,-0.0343
ZDHHC18,ENSG00000204160,1,26857604,26826688,+,-0.0435
PPP1R8,ENSG00000117751,1,27851676,27830782,+,-0.0613
XKR8,ENSG00000158156,1,27968096,27959462,+,-0.0898
GMEB1,ENSG00000162419,1,28719353,28668732,+,-0.0483
MATN1-AS1,ENSG00000186056,1,30726827,30718504,+,-0.1142
LCK,ENSG00000182866,1,32286165,32251239,+,-0.1531
ZNF362,ENSG00000160094,1,33300719,33256492,+,-0.0557
TFAP2E,ENSG00000116819,1,35595328,35573314,+,0.0389
AGO4,ENSG00000134698,1,35857890,35808016,+,-0.0791
ADPRHL2,ENSG00000116863,1,36093932,36088892,+,-0.0595
ZC3H12A,ENSG00000163874,1,37484377,37474580,+,-0.1047
MACF1,ENSG00000127603,1,39487177,39081316,+,-0.1344
ZFP69B,ENSG00000187801,1,40463718,40450102,+,-0.0242
ZNF691,ENSG00000164011,1,42852477,42846573,+,-0.0799
CDC20,ENSG00000117399,1,43363203,43358981,+,0.4491
SZT2,ENSG00000198198,1,43454247,43389882,+,-0.0161
IPO13,ENSG00000117408,1,43968022,43946950,+,-0.0034
DMAP1,ENSG00000178028,1,44220681,44213455,+,-0.0417
ARMH1,ENSG00000198520,1,44725591,44674692,+,-0.0084
PLK3,ENSG00000173846,1,44805990,44800377,+,-0.0818
MAST2,ENSG00000086015,1,46036122,45786987,+,-0.0216
ZFYVE9,ENSG00000157077,1,52346686,52142094,+,-0.0616
LEXM,ENSG00000162398,1,54842252,54806063,+,0.072
PATJ,ENSG00000132849,1,62178675,61742406,+,-0.1359
RAVER2,ENSG00000162437,1,64833232,64745095,+,-0.0495
AL035409.1,ENSG00000230498,1,77086402,77067920,+,0.0187
AL359762.1,ENSG00000284882,1,84583620,84574129,+,-0.0177
BTBD8,ENSG00000189195,1,92184725,92080305,+,-0.0808
FNBP1L,ENSG00000137942,1,93554661,93448131,+,-0.0698
AMPD2,ENSG00000116337,1,109632053,109616104,+,-0.04
AHCYL1,ENSG00000168710,1,110023742,109984765,+,-0.0593
STRIP1,ENSG00000143093,1,110074641,110031577,+,-0.0843
KCNC4,ENSG00000116396,1,110283100,110211343,+,-0.0193
C1orf162,ENSG00000143110,1,111478512,111473792,+,-0.1744
MOV10,ENSG00000155363,1,112700746,112673141,+,-0.0856
LRIG2,ENSG00000198799,1,113132260,113073198,+,-0.0788
HIPK1,ENSG00000163349,1,113977869,113929324,+,-0.0172
CD101,ENSG00000134256,1,117036476,117001750,+,-0.0513
EMBP1,ENSG00000231752,1,121575702,121519112,+,-0.0392
AC241585.3,ENSG00000283752,1,145148375,145139986,+,-0.0256
AC242988.2,ENSG00000285554,1,150181429,150173049,+,-0.0515
PRPF3,ENSG00000117360,1,150353233,150321479,+,-0.1445
TARS2,ENSG00000143374,1,150507609,150487364,+,-0.0538
FALEC,ENSG00000228126,1,150518032,150515757,+,-0.038
PRUNE1,ENSG00000143363,1,151035713,151008420,+,-0.0991
C1orf56,ENSG00000143443,1,151051986,151047751,+,-0.0102
AL391069.2,ENSG00000237976,1,151348027,151346967,+,-0.049
TUFT1,ENSG00000143367,1,151583583,151540305,+,-0.044
SNX27,ENSG00000143376,1,151699091,151612006,+,-0.1388
ADAM15,ENSG00000143537,1,155062775,155050566,+,0.0221
MTX1P1,ENSG00000236675,1,155234325,155230975,+,-0.0387
HCN3,ENSG00000143630,1,155289848,155277463,+,-0.0424
SLC25A44,ENSG00000160785,1,156212796,156193932,+,-0.0401
CD1D,ENSG00000158473,1,158184896,158179947,+,-0.0959
CD1C,ENSG00000158481,1,158294774,158289923,+,-0.1052
LY9,ENSG00000122224,1,160828261,160796074,+,-0.2446
USP21,ENSG00000143258,1,161165723,161159450,+,-0.0964
FCER1G,ENSG00000158869,1,161220699,161215234,+,0.0416
FCRLA,ENSG00000132185,1,161714352,161706972,+,-0.4136
POGK,ENSG00000143157,1,166856344,166839447,+,-0.0537
TBX19,ENSG00000143178,1,168314426,168280877,+,-0.0656
C1orf112,ENSG00000000460,1,169854080,169662007,+,-0.0067
ZBTB37,ENSG00000185278,1,173903549,173868082,+,-0.0543
CACNA1E,ENSG00000198216,1,181808084,181317690,+,0.0211
RGL1,ENSG00000143344,1,183928531,183636085,+,0.0278
PPP1R12B,ENSG00000077157,1,202592706,202348699,+,-0.0638
AC098934.2,ENSG00000234996,1,202875241,202861754,+,0.0249
ATP2B4,ENSG00000058668,1,203744081,203626561,+,-0.0363
AC119673.2,ENSG00000286619,1,205896082,205813322,+,-0.0494
SRGAP2,ENSG00000266028,1,206464443,206203345,+,-0.0529
IKBKE,ENSG00000263528,1,206496889,206470476,+,-0.0688
IL24,ENSG00000162892,1,206904139,206897443,+,-0.0531
PFKFB2,ENSG00000123836,1,207081024,207034366,+,-0.0508
CR2,ENSG00000117322,1,207489895,207454230,+,-0.0584
HHAT,ENSG00000054392,1,210676296,210328252,+,-0.0574
FLVCR1,ENSG00000162769,1,212899363,212858275,+,-0.0244
RPS6KC1,ENSG00000136643,1,213274774,213051233,+,-0.0649
TGFB2,ENSG00000092969,1,218444619,218345336,+,-0.0429
MARK1,ENSG00000116141,1,220664461,220528183,+,-0.0002
MARC2,ENSG00000117791,1,220784815,220748225,+,-0.0907
OBSCN,ENSG00000154358,1,228378876,228208063,+,-0.0588
RNF187,ENSG00000168159,1,228496188,228487382,+,-0.056
AL117350.1,ENSG00000237481,1,229323087,229319403,+,-0.0418
MAP3K21,ENSG00000143674,1,233385148,233327724,+,-0.0354
KMO,ENSG00000117009,1,241595642,241532134,+,-0.098
WDR64,ENSG00000162843,1,241802133,241652278,+,0.0265
CNST,ENSG00000162852,1,246668595,246566444,+,-0.1496
ZNF672,ENSG00000171161,1,248849517,248838210,+,-0.0469
PGBD2,ENSG00000185220,1,248919946,248906196,+,-0.14
TUBB8,ENSG00000261456,10,74163,46892,-,-0.0355
IL2RA,ENSG00000134460,10,6062370,6010689,-,-0.1315
AL354916.1,ENSG00000286439,10,10337876,10326875,-,-0.048
USP6NL,ENSG00000148429,10,11611754,11453946,-,-0.1044
CUBN,ENSG00000107611,10,17129817,16823966,-,-0.0509
NSUN6,ENSG00000241058,10,18659285,18545561,-,-0.0628
PRTFDC1,ENSG00000099256,10,24952606,24848614,-,0.069
MPP7,ENSG00000150054,10,28334486,28050993,-,-0.0673
ZNF438,ENSG00000183621,10,31031937,30820207,-,-0.0399
ZNF25,ENSG00000175395,10,37976647,37949573,-,-0.0778
ZNF239,ENSG00000196793,10,43574618,43556344,-,-0.0301
MARCH8,ENSG00000165406,10,45594906,45454585,-,-0.0559
BMS1P7,ENSG00000270025,10,48060016,48050282,-,-0.0649
PTPN20CP,ENSG00000278561,10,48119455,48064308,-,-0.0555
TMEM273,ENSG00000204161,10,49188585,49154725,-,-0.1771
SGMS1,ENSG00000198964,10,50625163,50305586,-,-0.066
ANK3,ENSG00000151150,10,60733490,60026298,-,-0.1038
TYSND1,ENSG00000156521,10,70146700,70137981,-,-0.0799
PRF1,ENSG00000180644,10,70602759,70597348,-,-0.0317
SPOCK2,ENSG00000107742,10,72089032,72059034,-,-0.1524
CAMK2G,ENSG00000148660,10,73874591,73812501,-,-0.1064
TMEM254-AS1,ENSG00000230091,10,80078912,80046860,-,0.0763
PANK1,ENSG00000152782,10,89645572,89579497,-,0.0659
CYP2C8,ENSG00000138115,10,95069497,95036772,-,0.07
SLIT1,ENSG00000187122,10,97185959,96998038,-,0.0426
MMS19,ENSG00000155229,10,97498794,97458324,-,-0.0875
PYROXD2,ENSG00000119943,10,98415182,98383565,-,-0.065
ERLIN1,ENSG00000107566,10,100186033,100150094,-,-0.0505
SEC31B,ENSG00000075826,10,100519864,100486646,-,-0.0889
FBXW4,ENSG00000107829,10,101695295,101610664,-,-0.1592
ARMH3,ENSG00000120029,10,102056193,101845599,-,-0.084
LDB1,ENSG00000198728,10,102120453,102107560,-,-0.0575
CALHM2,ENSG00000138172,10,103452402,103446786,-,-0.1956
ITPRIP,ENSG00000148841,10,104338465,104309698,-,-0.089
ADD3-AS1,ENSG00000203876,10,110008381,109940104,-,-0.0458
AFAP1L2,ENSG00000169129,10,114404756,114294824,-,-0.054
ABLIM1,ENSG00000099204,10,114768061,114431113,-,-0.2206
MCMBP,ENSG00000197771,10,119892556,119829404,-,0.0201
WDR11-AS1,ENSG00000227165,10,120851457,120759898,-,-0.015
AC068896.1,ENSG00000258539,10,124791727,124617080,-,-0.0533
DHX32,ENSG00000089876,10,125896436,125836337,-,-0.0447
STK32C,ENSG00000165752,10,132331847,132207492,-,-0.0149
ADAM8,ENSG00000151651,10,133276868,133262420,-,-0.1372
LINC00200,ENSG00000229205,10,1289426,1159768,+,0.0213
PFKP,ENSG00000067057,10,3137718,3066333,+,-0.0258
GATA3,ENSG00000107485,10,8075198,8045378,+,-0.0329
TMEM236,ENSG00000148483,10,17800868,17752201,+,-0.0451
AL160291.1,ENSG00000262412,10,27250804,27243130,+,-0.0673
ZEB1,ENSG00000148516,10,31529814,31318495,+,-0.0768
ZNF485,ENSG00000198298,10,43617904,43606419,+,-0.0588
RASSF4,ENSG00000107551,10,44995891,44959407,+,-0.0533
ALOX5,ENSG00000012779,10,45446119,45374176,+,-0.2818
AGAP7P,ENSG00000264204,10,46131358,46109621,+,-0.0525
WDFY4,ENSG00000128815,10,48982956,48684876,+,-0.226
HK1,ENSG00000156515,10,69401884,69269984,+,-0.1305
PALD1,ENSG00000107719,10,70568450,70478767,+,-0.016
SGPL1,ENSG00000166224,10,70881184,70815948,+,-0.1258
VCL,ENSG00000035403,10,74121363,73995193,+,-0.1198
TSPAN14,ENSG00000108219,10,80533124,80454166,+,-0.1023
IFIT5,ENSG00000152778,10,89420997,89414568,+,-0.1185
PDE6C,ENSG00000095464,10,93666010,93612537,+,-0.0331
ZFYVE27,ENSG00000155256,10,97760907,97737121,+,-0.0793
ABCC2,ENSG00000023839,10,99852594,99782640,+,-0.0435
LZTS2,ENSG00000107816,10,101007836,100996618,+,-0.0793
AL133387.1,ENSG00000225208,10,101311505,101311018,+,-0.0487
GRK5,ENSG00000198873,10,119459745,119207571,+,-0.0475
PLEKHA1,ENSG00000107679,10,122442602,122374696,+,-0.1009
PPP2R2D,ENSG00000175470,10,131959834,131901008,+,-0.0465
LRRC27,ENSG00000148814,10,132381508,132332154,+,-0.071
PWWP2B,ENSG00000171813,10,132417859,132397168,+,-0.0831
SCART1,ENSG00000214279,10,133523558,133453928,+,-0.0388
CYP2E1,ENSG00000130649,10,133561220,133520406,+,0.0014
ANO9,ENSG00000185101,11,442011,417933,-,-0.1224
HRAS,ENSG00000174775,11,537287,532242,-,-0.0035
DEAF1,ENSG00000177030,11,706715,644233,-,-0.0543
PIDD1,ENSG00000177595,11,809753,799179,-,-0.0468
C11orf21,ENSG00000110665,11,2303049,2295645,-,-0.0727
RHOG,ENSG00000177105,11,3840959,3826978,-,-0.1492
TRIM21,ENSG00000132109,11,4393702,4384897,-,-0.0754
TRIM68,ENSG00000167333,11,4608231,4598672,-,-0.084
APBB1,ENSG00000166313,11,6419414,6395124,-,-0.0903
TRIM3,ENSG00000110171,11,6474459,6448613,-,-0.0472
OR2AG2,ENSG00000188124,11,6771976,6765626,-,0.0366
AC107884.1,ENSG00000251364,11,7513644,7418826,-,-0.1183
STK33,ENSG00000130413,11,8594289,8391868,-,-0.0487
DENND5A,ENSG00000184014,11,9265350,9138825,-,-0.0564
SBF2,ENSG00000133812,11,10294207,9778667,-,-0.0167
AC080023.1,ENSG00000254554,11,10303704,10302657,-,0.0106
UEVLD,ENSG00000151116,11,18588747,18529609,-,-0.0355
LMO2,ENSG00000135363,11,33892076,33858576,-,-0.0465
TRAF6,ENSG00000175104,11,36510272,36483769,-,-0.078
AGBL2,ENSG00000165923,11,47715389,47659591,-,-0.0604
AP002358.1,ENSG00000214797,11,59284033,59268876,-,-0.0464
LINC02739,ENSG00000255008,11,59566283,59560298,-,-0.044
SLC15A3,ENSG00000110446,11,60952530,60937084,-,-0.021
VPS37C,ENSG00000167987,11,61161615,61130257,-,-0.0278
FADS3,ENSG00000221968,11,61892051,61873519,-,-0.1572
WDR74,ENSG00000133316,11,62841809,62832342,-,-0.148
RASGRP2,ENSG00000068831,11,64745456,64726911,-,-0.2301
MAP4K2,ENSG00000168067,11,64803241,64784918,-,-0.0886
MEN1,ENSG00000133895,11,64811294,64803510,-,-0.0052
CDC42BPG,ENSG00000171219,11,64844653,64823052,-,-0.0393
BATF2,ENSG00000168062,11,64997018,64987945,-,-0.066
LTBP3,ENSG00000168056,11,65558930,65538805,-,-0.0927
KCNK7,ENSG00000173338,11,65595996,65592855,-,-0.0366
FOSL1,ENSG00000175592,11,65900573,65892049,-,0.0466
C11orf68,ENSG00000175573,11,65919062,65916810,-,-0.0591
PC,ENSG00000173599,11,66958386,66848417,-,-0.0285
CPT1A,ENSG00000110090,11,68844410,68754620,-,0.0111
NUMA1,ENSG00000137497,11,72080693,72002864,-,-0.1261
ARAP1,ENSG00000186635,11,72793599,72685069,-,-0.0556
C2CD3,ENSG00000168014,11,74171210,74012714,-,-0.0768
LIPT2,ENSG00000175536,11,74493724,74490519,-,-0.0525
ARRB1,ENSG00000137486,11,75351705,75260122,-,-0.0368
GDPD5,ENSG00000158555,11,75525941,75434640,-,-0.0726
PAK1,ENSG00000149269,11,77474635,77321707,-,-0.087
INTS4,ENSG00000149262,11,77994671,77878720,-,-0.0233
GAB2,ENSG00000033327,11,78418348,78215293,-,-0.0529
MAML2,ENSG00000184384,11,96343195,95976598,-,-0.0786
AP002433.2,ENSG00000285696,11,108150381,108142458,-,-0.0469
ARHGAP20,ENSG00000137727,11,110713189,110577042,-,-0.0537
NXPE1,ENSG00000095110,11,114559895,114521645,-,0.0395
CADM1,ENSG00000182985,11,115504957,115169218,-,0.0138
BUD13,ENSG00000137656,11,116772987,116748170,-,-0.0951
SIK3,ENSG00000160584,11,117098437,116843402,-,-0.0623
PCSK7,ENSG00000160613,11,117232525,117204337,-,-0.1575
TMPRSS13,ENSG00000137747,11,117929459,117900641,-,-0.0309
JAML,ENSG00000160593,11,118225094,118193725,-,0.0475
CCDC84-DT,ENSG00000255121,11,118998004,118994824,-,-0.0033
CCDC153,ENSG00000248712,11,119196769,119189638,-,-0.0177
ZNF202,ENSG00000166261,11,123741675,123723914,-,-0.0431
CDON,ENSG00000064309,11,126063335,125955796,-,0.0475
RPUSD4,ENSG00000165526,11,126211692,126202096,-,0.0244
RIC8A,ENSG00000177963,11,215113,207511,+,-0.0991
NLRP6,ENSG00000174885,11,285359,278365,+,-0.0219
LRRC56,ENSG00000161328,11,554912,537527,+,-0.0532
RASSF7,ENSG00000099849,11,564025,560404,+,-0.1742
TNNI2,ENSG00000130598,11,1841680,1838981,+,-0.0698
TNNT3,ENSG00000130595,11,1938706,1919703,+,-0.0257
CD81,ENSG00000110651,11,2397419,2376177,+,-0.1491
KCNQ1,ENSG00000053918,11,2848991,2444684,+,-0.0263
PGAP2,ENSG00000148985,11,3826371,3797724,+,-0.0329
STIM1,ENSG00000167323,11,4093210,3854527,+,-0.0833
DNHD1,ENSG00000179532,11,6593758,6497260,+,-0.0996
TUB,ENSG00000166402,11,8106112,8019244,+,-0.0039
TMEM9B-AS1,ENSG00000254860,11,8977527,8964510,+,-0.0476
IPO7,ENSG00000205339,11,9448127,9384652,+,-0.06
ZNF143,ENSG00000166478,11,9528524,9460319,+,-0.0684
AMPD3,ENSG00000133805,11,10507579,10308313,+,-0.0467
MRVI1-AS1,ENSG00000177112,11,10599936,10541258,+,-0.0654
AC018523.1,ENSG00000255074,11,14441677,14440787,+,-0.0422
PDE3B,ENSG00000152270,11,14872044,14643804,+,-0.0289
HTATIP2,ENSG00000109854,11,20383783,20363685,+,-0.0987
TRIM44,ENSG00000166326,11,35818007,35662775,+,-0.1283
ACCS,ENSG00000110455,11,44084237,44065925,+,-0.0877
EXT2,ENSG00000151348,11,44251981,44095673,+,-0.0445
CRY2,ENSG00000121671,11,45883248,45847118,+,-0.1106
LARGE2,ENSG00000165905,11,45929096,45921621,+,-0.0652
ZNF408,ENSG00000175213,11,46705912,46701030,+,-0.0813
MADD,ENSG00000110514,11,47330031,47269161,+,-0.0744
CTNND1,ENSG00000198561,11,57819546,57753243,+,-0.0246
AP000442.1,ENSG00000255139,11,59639861,59565923,+,-0.0442
CD6,ENSG00000013725,11,61020377,60971680,+,-0.08
CD5,ENSG00000110448,11,61127852,61102489,+,-0.0138
TMEM216,ENSG00000187049,11,61398863,61392360,+,-0.1487
MARK2,ENSG00000072518,11,63911019,63838928,+,-0.0685
VPS51,ENSG00000149823,11,65111862,65089324,+,0.007
CAPN1,ENSG00000014216,11,65212006,65180566,+,-0.0351
PCNX3,ENSG00000197136,11,65637439,65615773,+,-0.0596
SIPA1,ENSG00000213445,11,65650918,65638101,+,-0.1236
ANKRD13D,ENSG00000172932,11,67302485,67288547,+,-0.0888
IGHMBP2,ENSG00000132740,11,68940602,68903842,+,-0.0237
INPPL1,ENSG00000165458,11,72239147,72223701,+,-0.0613
RELT,ENSG00000054967,11,73397474,73376399,+,-0.1101
PLEKHB1,ENSG00000021300,11,73662819,73646178,+,-0.1288
CCDC81,ENSG00000149201,11,86423109,86374736,+,0.063
ENDOD1,ENSG00000149218,11,95132645,95089846,+,-0.1456
AP000787.1,ENSG00000245552,11,95234391,95150539,+,-0.0915
CEP126,ENSG00000110318,11,102001062,101915010,+,-0.0731
BCO2,ENSG00000197580,11,112224699,112175510,+,-0.036
LINC02762,ENSG00000250303,11,112362534,112270749,+,-0.0496
HTR3A,ENSG00000166736,11,113990313,113974881,+,-0.0348
ZBTB16,ENSG00000109906,11,114256765,114059711,+,-0.0996
SIDT2,ENSG00000149577,11,117197445,117178736,+,-0.1386
TAGLN,ENSG00000149591,11,117207464,117199370,+,-0.0623
CEP164,ENSG00000110274,11,117413266,117314557,+,-0.1054
IL10RA,ENSG00000110324,11,118003037,117986348,+,-0.3285
KMT2A,ENSG00000118058,11,118526832,118436490,+,-0.046
VPS11,ENSG00000160695,11,119081978,119067692,+,-0.1239
HINFP,ENSG00000172273,11,119136059,119121580,+,-0.0496
ARHGEF12,ENSG00000196914,11,120489937,120336413,+,-0.0368
SORL1,ENSG00000137642,11,121633763,121452314,+,-0.0854
GRAMD1B,ENSG00000023171,11,123627774,123358428,+,0.0694
VWA5A,ENSG00000110002,11,124147721,124115404,+,-0.0392
ST3GAL4,ENSG00000110080,11,126440344,126355640,+,-0.0181
ZBTB44-DT,ENSG00000175773,11,130403657,130314993,+,-0.0234
JAM3,ENSG00000166086,11,134152001,134069071,+,-0.1141
ACAD8,ENSG00000151498,11,134265855,134253495,+,-0.024
CACNA2D4,ENSG00000151062,12,1918666,1791963,-,-0.0466
DCP1B,ENSG00000151065,12,2004535,1946053,-,-0.0702
CRACR2A,ENSG00000130038,12,3764819,3606633,-,-0.0699
IFFO1,ENSG00000010295,12,6556083,6538375,-,-0.0701
LPAR5,ENSG00000184574,12,6635960,6618835,-,-0.1698
CD69,ENSG00000110848,12,9760901,9752486,-,-0.2986
ERP27,ENSG00000139055,12,14938537,14914039,-,-0.1101
LINC02422,ENSG00000255760,12,31959316,31876969,-,-0.1204
